PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Lin, HC; Huang, YH; Fujimoto, N				Lin, Han Chien; Huang, Yu-Hun; Fujimoto, Noboru			Influence of Time Variation of CCA and ACQ in Water on Fish Using Charcoal Adsorbability	JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY												The effect of charcoal adsorbability on the contents of heavy metal ions, including Cr, As, and Cu, in water, as well as the fish liver, gill and scales after the time variation of wood preservatives CCA and ACQ in water were evaluated. The time dependent pH value of charcoals in water with different preservatives was 7.97-8.59. Bamboo charcoal had better adsorption for the Cu content, but for the Cr and As contents it had poor adsorbability. Bamboo activated carbon had preferable adsorption for both Cr and Cu contents, yet it had insignificant adsorbability for the As content. The Cr ion content in the fish scales was with a decreased tendency and the Cu ion content in the fish liver was decreased due to the charcoal adsorbability. However, the Cr ion content in the fish liver and gills was no significant difference before and after a period of time. For the As ion content in fish liver, gills, and scales, there were no obvious change. According to the water quality result, the Cu ion content was decreased slightly, but the As ion content was increased slightly and higher than Cr ion content. In the scope of this study, the charcoal adsorbability can prevent water environments from acidifying, and the Cr and Cu contents can be adsorbed, as well as the adsorbability of bamboo activated carbon was better than that of bamboo charcoal.																	0023-6152					FEB	2017	62	1					131	136										WOS:000400205800021						
J	Chinh, LV; Hiramatsu, K; Harada, M; Cuu, NP; Lan, TT				Le Van Chinh; Hiramatsu, Kazuaki; Harada, Masayoshi; Nguyen Prong Cuu; Truong Thi Lan			Estimation of Water Environment Capacity in the Cau River Basin, Vietnam using the Streeter-Phelps Model	JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY												Recently, with the acceleration of industrialization, fertilizer and pesticide consumption has increased, leading to intense pollution emission, and rapid increases in pollution load in the Cau River Basin, Vietnam. The main pollutants far exceed their threshold capacities, resulting in deterioration of the function and ecosystem of the river. Therefore, the estimation of the water environment capacity in this river is essential. There are many approaches to address this issue. However, due to a lack of input data and information, researchers are now facing many difficulties in finding a suitable tool for their analysis. This paper introduces a useful model in order to overcome this difficulty. The input data of the areas along the Cau River, such as hydrometeorology data and pollutant sources were collected for the year 2014. Subsequently, water quality component parameters, including total phosphorus (TP), total nitrogen (TN), total suspended solid (TSS), carbon oxygen demand (COD), and biochemical oxygen demand over five days (BOD5) that corresponded to different confidence probabilities of surface water discharge, were then computed at some assessment points using the Streeter-Phelps model. Finally, the water environment capacity of this river was assessed by comparing the computed results with the standard values. The results show that most values of the water quality parameters (TP, TN, TSS, COD, and BOD5) in the sub basins of the Cau River (at assessment points No.1, 2, 3 and 4) far exceeded the standard values, which indicated that the water in the sub basins was heavily polluted and had low self cleaning capacities. This could be the contribution of pollutant loads from sub basins exceeded the standard values. The results serve as useful tools by which managers and authorities can set better goals for different hydrological periods, especially in areas dominated by pollutant sources. They also provide researchers with useful input data and information to help them deal with the environmental issues regarding the Cau River Basin.																	0023-6152					FEB	2017	62	1					163	169										WOS:000400205800025						
J	Goswami, AR; Roy, US; Aich, A; Chattopadhyay, B; Datta, S; Mukhopadhyay, SK				Goswami, Abhishek Roy; Roy, Utpal Singha; Aich, Anulipi; Chattopadhyay, Buddhadeb; Datta, Siddhartha; Mukhopadhyay, Subhra Kumar			EFFICIENCY OF A FISHPOND AT EAST CALCUTTA WETLANDS IN IMPROVEMENT OF WATER QUALITY	ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL												The Storm Water Flow (SWF) and the Dry Weather Flow (DWF) canals carry composite industrial and municipal effluent (nearly 50,000 m(3) d(-1)) from Kolkata city. Wastewater from SWF and DWF canals is used for pisciculture at the East Calcutta Wetland (ECW) for nearly a century. A wastewater fed pisciculture pond was selected to study the efficiency of the pond in treatment of wastewater. Monthly changes of hydraulic variables viz. inflow and outflow rates, depth, hydraulic loading rates, detention time of water at the pond were estimated. The monthly and seasonal changes of removal efficiency (RE) of TDS, TSS, alkalinity, hardness, phosphate, nitrate, BOD, COD, Cr, Mn, Fe, Cu, Zn and Pb and dependence of the RE values upon hydraulic variables, physicochemical and biological factors were also explored. The hydraulic variables (water depth, inflow volumes, hydraulic loading rate and detention time) revealed a definite seasonal fluctuation pattern influenced primarily by rainfall. Efficient reduction of BOD, COD and the elements from the fishpond was recorded. Most of the factors showed higher mean seasonal removal efficiencies during monsoon and post-monsoon. The ameliorative efficiency of the wastewater-fed fish pond proved to be quite good when compared to natural and constructed wetlands. The average detention time of wastewater at the pond was calculated to be about 34 days and the period would be essential for the pond to ameliorate the pollutant load of the raw composite wastewater at the ECW.																	1582-9596	1843-3707				FEB	2017	16	2					361	371										WOS:000400161900011						
J	Dragicevic, S; Stojanovic, Z; Manic, E; Roksandic, M; Stepic, M; Zivkovic, N; Zlatic, M; Kostadinov, S				Dragicevic, Slavoljub; Stojanovic, Zaklina; Manic, Emilija; Roksandic, Mirjana; Stepic, Milomir; Zivkovic, Nenad; Zlatic, Miodrag; Kostadinov, Stanimir			ECONOMIC CONSEQUENCES OF BANK EROSION IN THE LOWER PART OF THE KOLUBARA RIVER BASIN, SERBIA	ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL												Anthropogenic influences on the hydrological network in the lower part of the Kolubara River have been notably intensive since 1959, when huge river regulation works were constructed to open new mining fields for lignite exploitation. From that moment, the Kolubara River flowed through the Pestan's riverbed (its right tributary), and the bank erosion became stronger, resulting in the lateral migration of the river course on one hand and land loss, land use changes, and economic consequences on the other hand. The economic effects caused by bank erosion were analysed both via the loss of land and the reduction in the volume of agricultural production. In the period 1967-2010, bank erosion caused a land loss of 67.3 ha, including 39.6 ha of arable land. The total value of the land loss by 2010 was 80,560 USD, and the total loss in agricultural production was 634,240 USD (1982=100). The second aim of this study was to investigate the costs and benefits of bank protection using the method of bank revetment construction at the moment bank erosion became more intense and during the latest phases. The results of this research suggest that any delay in the investment in Kolubara River bank protection could be adverse. If the bank revetment along the endangered river banks was built in 1967, all investments would have been recovered through income from agricultural production and selling the lost land by 2010. The results should provide information for river engineering, environmental planners and policy makers who must deal with decisions regarding planning and the protection of bank erosion.				Dragicevic, Slavoljub/K-8986-2017	Dragicevic, Slavoljub/0000-0002-1417-5405; Zivkovic, Nenad/0000-0002-2731-2835; Kostadinov, Stanimir/0000-0001-6467-0992												1582-9596	1843-3707				FEB	2017	16	2					381	390										WOS:000400161900013						
J	Oh, HJ; Jeong, HG; Nam, GS; Oda, Y; Dai, W; Lee, EH; Kong, D; Hwang, SJ; Chang, KH				Oh, Hye-Ji; Jeong, Hyun-Gi; Nam, Gui-Sook; Oda, Yusuke; Dai, Wei; Lee, Eui-Haeng; Kong, Dongsoo; Hwang, Soon-Jin; Chang, Kwang-Hyeon			Comparison of taxon-based and trophi-based response patterns of rotifer community to water quality: applicability of the rotifer functional group as an indicator of water quality	ANIMAL CELLS AND SYSTEMS												Rotifer community is often used as a taxon-based bioindicator for water quality. However, studies of the planktonic community from the viewpoint of functional groups in freshwater ecosystems have been limited, particularly for rotifers. Because rotifers have various trophi types determining their feeding strategies, thereby representing an ecological niche, their functional feeding groups can act as biological and ecological indicators in lakes and reservoirs where planktonic communities are dominant. We analyzed the patterns of spatial distribution of the rotifer community in various reservoirs and then its relationship with water quality through redundancy and regression analyses. Compared with taxon-based composition, the response of trophi-based composition appears simplistic and showed clearer tendency in relation with water-quality variables. Each trophi responded differently by the degree of eutrophication indicating that each trophi group is possibly affected by environments such as the combinations of water-quality variables in different ways.																	1976-8354	2151-2485				FEB	2017	21	2					133	140		10.1080/19768354.2017.1292952								WOS:000399657000008						
J	Yu, WC; Kuo, SL; Fu, YC				Yu, Wu-Chou; Kuo, Shu-Lung; Fu, Yi-Ching			The application of multivariate statistical analysis to the analysis of characteristics and assessment methods of heavy Metal soil contamination in Taiwan	JOURNAL OF THE INDIAN CHEMICAL SOCIETY												This research uses data from heavy metal soil monitoring collected in 23 countries and cities across Taiwan by the Environmental Protection Administration (EPA), Taiwan. Multivariate statistical analysis methods are applied to investigate the relationships among the variables of the eight major heavy metals, hoping to find the principal factors that affect soil contamination and the contamination tendency in Taiwan. The discussion of relationships among the eight heavy metals (i.e. chromium (Cr), Ni (nickel), Cu (copper), Zn (zinc), Hg (mercury), Cd (cadmium), As (arsenic), and Pb (lead)) can reflect the difference in the contaminations in, affected areas and contamination level assessment models. The results of the factor analysis show that the principal factors affecting the contamination mechanism of the eight heavy metals can be simplified into two : (1) Highly oxidizing pollutants comprised of Cr, Ni, Cu, and Zn. The loading capacity order from high to low is Cr, Ni, Cu, and Zn, which corresponds to several rules on the periodic table. (2) The semiconductor potential pollutant factor comprised of Cd, As, and Pb. The factors, either the transition metal Cd or the typical elements, As and Pb, all have something to do with the formation of a compound semiconductor. The major mechanism for semiconductor formation is the metallic bond. As for the cluster analysis, five clusters are first divided according to the contamination characteristics. Discriminant analysis is used to classify the type of a new sample with an accuracy as high as 96.87%. This means that the clustering for the cluster analysis is acceptable. The research findings can serve as reference material for relevant entities in the planning and application of soil remediation strategies.																	0019-4522					FEB	2017	94	2					221	228										WOS:000399627900013						
J	Sroczynska, K; Claro, M; Kruk, A; Wojtal-Frankiewicz, A; Range, P; Chicharo, L				Sroczynska, K.; Claro, M.; Kruk, A.; Wojtal-Frankiewicz, A.; Range, P.; Chicharo, L.			Indicator macroinvertebrate species in a temporary Mediterranean river: Recognition of patterns in binary assemblage data with a Kohonen artificial neural network	ECOLOGICAL INDICATORS												Current classifications used in bioassessment programs, as defined by the Water Framework Directive (WFD), do not sufficiently capture the variability present in temporary Mediterranean streams. This may result in inaccurate evaluation of the water quality biological metrics and difficulties in setting reference conditions. The aim of the study was to examine if aquatic invertebrate data of increased taxonomical resolution but expressed on a binary abundance (frequent/rare) scale and referring to good bioindicator species only suffice to indicate clear gradients in water courses with high natural variability such as intermittent Mediterranean streams. Invertebrate samples were collected from 74 sites in the Quarteira River basin, located in southern Portugal. Their classification with the use of a Kohonen artificial neural network (i.e., self-organising map, SOM) resulted in five categories. The variables that drove this categorization were primarily altitude, temperature and conductivity, but also type of substrate, riparian cover and percentage of riffles present. According to the indicator species analysis (ISA), almost all the studied taxa were significantly associated with certain SOM categories except for the category that included sites with disrupted flow regime. The SOM and ISA allowed us to effectively recognize biotic and abiotic patterns. Combined application of both methods may thus greatly enhance the effectiveness and precision of biological surveillance and establish reference sites for specific channel units in streams with high natural variability such as intermittent Mediterranean streams. (C) 2016 Elsevier Ltd. All rights reserved.				Range, Pedro/C-5558-2008; Algarve, CCMAR/C-2603-2018	Range, Pedro/0000-0002-9269-2416; Kruk, Andrzej/0000-0003-1452-7906; Chicharo, Luis/0000-0002-4933-2300												1470-160X	1872-7034				FEB	2017	73						319	330		10.1016/j.ecolind.2016.09.010								WOS:000398334400033						
J	Alemneh, T; Ambelu, A; Bahrndorff, S; Mereta, ST; Pertoldi, C; Zaitchik, BF				Alemneh, Temesgen; Ambelu, Argaw; Bahrndorff, Simon; Mereta, Seid Tiku; Pertoldi, Cino; Zaitchik, Benjamin F.			Modeling the impact of highland settlements on ecological disturbance of streams in Choke Mountain Catchment: Macroinvertebrate assemblages and water quality	ECOLOGICAL INDICATORS												Human disturbances of waterways in Ethiopian highlands have increased throughout the last century due to population growth and increased land use. Despite this, there is a lack of knowledge on macroinvertebrate responses to human disturbances and the application of biological monitoring in tropical highland waterways in general. In this study, we have evaluated the human impact on the ecological integrity of the Chemoga River catchment in the Choke mountain watershed in the northwestern region of the Ethiopian Blue Nile highlands. During wet and dry seasons the water quality and macroinvertebrate assemblages were assessed. Multivariate statistics and Canonical Correspondence Analysis (CCA) were used to identify factors influencing macroinvertebrate community structures in highland streams in the northwest regions of Ethiopia. A total of 66 taxa of benthic macroinvertebrates were recorded, among which Diptera (38%) and Coleoptera (21%) were the most dominant. The results revealed a severe decrease in the ecological integrity of the Chemoga River in terms of macroinvertebrate composition at higher altitude. The ordination and cluster analysis clearly indicates extremely low macroinvertebrate diversity at sites where human impact is severe and a strong effect of altitude. These results highlight the need to protect the highland waterways of the Blue Nile area and that of similarly degraded watersheds in the Ethiopian highlands. (C) 2016 Elsevier Ltd. All rights reserved.					Bahrndorff, Simon/0000-0002-0838-4008; Pertoldi, Cino/0000-0002-4644-8981												1470-160X	1872-7034				FEB	2017	73						452	459		10.1016/j.ecolind.2016.10.019								WOS:000398334400046						
J	Martins, RT; Couceiro, SRM; Melo, AS; Moreira, MP; Hamada, N				Martins, Renato T.; Couceiro, Sheyla R. M.; Melo, Adriano S.; Moreira, Marcelo P.; Hamada, Neusa			Effects of urbanization on stream benthic invertebrate communities in Central Amazon	ECOLOGICAL INDICATORS												Urbanization and its physical and chemical effects on aquatic environments influence invertebrate communities negatively. Yet, it is not clear how urbanization affects inter-annual variation of invertebrate assemblages in streams. We 1) evaluated urbanization effects on the ecological conditions (biotic and abiotic) of streams in Manaus and 2) analyzed invertebrate community variation over time (between 2003 and 2010). Data on abiotic variables and invertebrates from 2003 were obtained from a previous study. In 2010 we sampled abiotic variables and invertebrate communities in the same low-order urban streams sampled in 2003 (n = 40). We recorded high values of total nitrogen, total phosphorous, deforestation, total impervious area (TIA), water temperature, pH, and electrical conductivity in the most urbanized streams, as compared to the least-impacted ones. In contrast, the least-impacted streams had high dissolved oxygen concentrations. Water quality was poorer in 2010 than in 2003: oxygen concentration was lower and total nitrogen, total phosphorous, deforestation, and TIA significantly higher in 2010. We recorded higher inter-annual variation of abiotic variables in the most-impacted streams as compared to the least-impacted streams. EPT (%, Ephemeroptera, Plecoptera, and Trichoptera) and richness metrics decreased with urbanization. On the other hand, % OP (percent of Oligochaeta and Psychodidae) increased with urbanization. Observed and EPT richness and% OP increased between 2003 and 2010. On the other hand, rarefied richness decreased between years. Increases of observed and EPT richness between 2003 and 2010 were related to low inter-annual variability in streams conditions; however, differences of% OP and rarefied richness were not related to inter-annual variability in environmental conditions. The degree of urbanization did not explain the magnitude of the within-stream difference of invertebrate communities between 2003 and 2010. The increased effects of urbanization represented by the abiotic variables sampled and the reduction of invertebrate richness and increased dominance of tolerant taxa indicate that public policy is not enough to protect or mitigate human impacts on the urban water systems under study. (C) 2016 Elsevier Ltd. All rights reserved.				Melo, Adriano/D-6859-2013	couceiro, sheyla/0000-0001-8186-4203												1470-160X	1872-7034				FEB	2017	73						480	491		10.1016/j.ecolind.2016.10.013								WOS:000398334400049						
J	Flint, N; Rolfe, J; Jones, CE; Sellens, C; Johnston, ND; Ukkola, L				Flint, Nicole; Rolfe, John; Jones, Catherine E.; Sellens, Claire; Johnston, Nathan D.; Ukkola, Luke			An Ecosystem Health Index for a large and variable river basin: Methodology, challenges and continuous improvement in Queensland's Fitzroy Basin	ECOLOGICAL INDICATORS												Report cards are an increasingly popular method for summarising and communicating relative environmental performance and ecosystem health, including in aquatic environments. They are usually underpinned by an Ecosystem Health Index (EHI) that combines various individual indicators to produce an overall ecosystem health "score". As a result of public water quality concerns, an integrated means of monitoring and reporting on aquatic ecosystem health was needed for the Fitzroy Basin in central Queensland, Australia. The Fitzroy Partnership for River Health was formed to address this need, and developed an EHI and report card for the Basin using existing monitoring data collected from various third parties including regulated companies operations and government. At 142,000 square kilometres, the Fitzroy Basin is the largest catchment draining to the World Heritage Listed Great Barrier Reef. The Fitzroy Basin provides an example of how to deliver an effective aquatic ecosystem health reporting system in a large and complex river basin. We describe the methodology used to develop an adaptive EHI for the Fitzroy Basin that addresses variability, complexity and scale issues associated with reporting across large areas. As well, we report how to manage the design and reporting stages given limitations in data collection and scientific understanding. (C) 2016 Elsevier Ltd. All rights reserved.					Jones, Catherine/0000-0002-1779-6231; Flint, Nicole/0000-0003-4331-4109												1470-160X	1872-7034				FEB	2017	73						626	636		10.1016/j.ecolind.2016.10.007								WOS:000398334400063						
