PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Pennesi, C; Danovaro, R				Pennesi, Chiara; Danovaro, Roberto			Assessing marine environmental status through microphytobenthos assemblages colonizing the Autonomous Reef Monitoring Structures (ARMS) and their potential in coastal marine restoration	MARINE POLLUTION BULLETIN												Microphytobenthos is potentially highly sensitive to environmental alterations, but has been rarely utilized in monitoring studies. Here we investigated the use of microphytobenthos colonizing Autonomous Reef Monitoring Structures (ARMS) to assess the marine environmental quality. We analysed microphytobenthic assemblages in terms of abundance, biomass and species composition on ARMS deployed in northern Adriatic Sea along a gradient of increasing impacts. We show that microphytobenthic variables changed significantly across sites, with lowest abundance and biodiversity in the highly impacted site. Moreover, the specific analysis of Diatoms revealed that genera like Entomoneis and Cylindrotheca could be used as indicators of nutrient enriched and stressed conditions. We provide evidence that the analysis of microphytobenthos colonizing artificial substrates could be used as a tool for detecting altered environmental characteristics. We also show that the ARMS, recreating hot spots of microphytobenthic biodiversity, and protect them from grazing, could be potentially utilized to restore degraded hard substrates. Our result indicates that microphytobenthos can be easily incorporated in future monitoring and restoration programmes to assess and improve marine environmental health.					Pennesi, Chiara/0000-0002-5774-2190												0025-326X	1879-3363				DEC 15	2017	125	1-2					56	65		10.1016/j.marpolbul.2017.08.001								WOS:000418727000020	28784269					
J	Humanes, A; Fink, A; Willis, BL; Fabricius, KE; de Beer, D; Negri, AP				Humanes, Adriana; Fink, Artur; Willis, Bette L.; Fabricius, Katharina E.; de Beer, Dirk; Negri, Andrew P.			Effects of suspended sediments and nutrient enrichment on juvenile corals	MARINE POLLUTION BULLETIN												Three to six-month-old juveniles of Acropora tennis, A. millepora and Pocillopora acute were experimentally co-exposed to nutrient enrichment and suspended sediments (without light attenuation or sediment deposition) for 40 days. Suspended sediments reduced survivorship of A. millepora strongly, proportional to the sediment concentration, but not in A. tennis or P. acuta juveniles. However, juvenile growth of the latter two species was reduced to less than half or to zero, respectively. Additionally, suspended sediments increased effective quantum yields of symbionts associated with A. millepora and A. tennis, but not those associated with P. acuta. Nutrient enrichment did not significantly affect juvenile survivorship, growth or photophysiology for any of the three species, either as a sole stressor or in combination with suspended sediments. Our results indicate that exposure to suspended sediments can be energetically costly for juveniles of some coral species, implying detrimental longer-term but species-specific repercussions for populations and coral cover.					de Beer, Dirk/0000-0001-5274-1781												0025-326X	1879-3363				DEC 15	2017	125	1-2					166	175		10.1016/j.marpolbul.2017.08.003								WOS:000418727000031						
J	Song, DB; Gao, ZQ; Zhang, H; Xu, FX; Zheng, XY; Ai, JQ; Hu, XK; Huang, GP; Zhang, HB				Song, Debin; Gao, Zhiqiang; Zhang, Hua; Xu, Fuxiang; Zheng, Xiangyu; Ai, Jinquan; Hu, Xiaoke; Huang, Guopei; Zhang, Haibo			GIS-based health assessment of the marine ecosystem in Laizhou Bay, China	MARINE POLLUTION BULLETIN												According to 2014-2016 monitoring data, an assessment index system including water quality, depositional environment and ecosystem was built to evaluate the health statue of marine ecosystem in the Laizhou Bay using analytic hierarchy process (AHP) method. The results, spatialized in ArcGIS software, show: while the comprehensive ecological health index is 0.62, the ecological environmental quality in the Laizhou Bay is in a sub healthy state; the unhealthy area is mainly concentrated in southwestern inshore region, and impacted by serious environmental problems, such as water eutrophication and heavy metal pollution; the northwestern and southeastern inshore regions are in a sub-healthy state, while the eastern inshore and northern areas are in the healthiest state. The land-based pollutants that discharge into the sea may be the leading factors that are causing ecological environment deterioration in the Laizhou Bay, and the reclamation work ongoing around the port has exacerbated the ecological risk.																	0025-326X	1879-3363				DEC 15	2017	125	1-2					242	249		10.1016/j.marpolbul.2017.08.027								WOS:000418727000038	28823550					
J	Oates, SC; Miller, MA; Hardin, D; Dominik, C; Jessup, D; Smith, WA				Oates, Stori C.; Miller, Melissa A.; Hardin, Dane; Dominik, Clare; Jessup, David; Smith, Woutrina A.			Daily relative dog abundance, fecal density, and loading rates on intensively and minimally managed dog-friendly beaches in central California	MARINE POLLUTION BULLETIN												Due to increased concerns regarding fecal pollution at marine recreational beaches, daily relative dog abundance and fecal density were estimated on an intensively managed (Beach 1) and a minimally managed (Beach 2) dog beach in Monterey County, California. Fecal loading and factors predictive of fecal deposition also were assessed. After standardizing for beach area, daily beach use and fecal densities did not differ between beaches and yearly fecal loading estimates revealed that unrecovered dog feces likely contributes significantly to fecal contamination (1.4 and 0.2 metric tonnes/beach). Detection of feces was significantly associated with beach management type, transect position relative to mean low tideline, presence of beach wrack, distance to the nearest beach entrance, and season. Methodologies outlined in this study can augment monitoring programs at coastal beaches to optimize management, assess visitor compliance, and improve coastal water quality.																	0025-326X	1879-3363				DEC 15	2017	125	1-2					451	458		10.1016/j.marpolbul.2017.10.062								WOS:000418727000061	29100633					
J	Wang, AJ; Bong, CW; Xu, YH; Hassan, MHA; Ye, X; Abu Bakar, AF; Li, YH; Lai, ZK; Xu, J; Loh, KH				Wang, Ai-jun; Bong, Chui Wei; Xu, Yong-hang; Hassan, Meor Hakif Amir; Ye, Xiang; Abu Bakar, Ahmad Farid; Li, Yun-hai; Lai, Zhi-kun; Xu, Jiang; Loh, Kar Hoe			Assessment of heavy metal pollution in surficial sediments from a tropical river-estuary-shelf system: A case study of Kelantan River, Malaysia	MARINE POLLUTION BULLETIN												To understand the source-to-sink of pollutants in the Kelantan River estuary and the adjacent shelf area in Malaysia, a total of 42 surface sediment samples were collected in the Kelantan River-estuary-shelf system to analyze for grain size, total organic carbon (TOC) content, Al and heavy metals (Cr, Ni, Cu, Zn, Cd and Pb). The surficial sediments were mainly composed of clayey silt and the TOC content in sediments decreased from the river to the shelf. The surficial sediments experienced Pb pollution; Cr only showed a certain level of pollution in the coastal area of the estuary but not in other areas, and Ni, Cu, Zn, and Cd showed no pollution. The heavy metals mainly originated from natural weathering and erosion of rocks and soils in the catchment and enriched near the river mouth. Total organic carbon can promote the enrichment of heavy metals in sediments.																	0025-326X	1879-3363				DEC 15	2017	125	1-2					492	500		10.1016/j.marpolbul.2017.08.010								WOS:000418727000066	28807422					
J	Browne, NK; Yaakub, SM; Tay, JKL; Todd, PA				Browne, Nicola K.; Yaakub, Siti Maryam; Tay, Jason K. L.; Todd, Peter A.			Recreating the shading effects of ship wake induced turbidity to test acclimation responses in the seagrass Thalassia hemprichii	ESTUARINE COASTAL AND SHELF SCIENCE												Elevated sediment delivery and resuspension in coastal waters from human activities such as shipping can have detrimental effects on seagrass health by limiting light penetration. Managing seagrasses requires knowledge of their light acclamatory abilities so guidelines for coastal activities (e.g. ship movements) that influence sediment dynamics can be created. Guidelines typically focus on ensuring that seagrasses are able to meet their minimal light requirements (MLR). MLRs can be achieved by different light regimes, but it remains unknown whether a chronically low yet stable light regime is less or more detrimental than a highly variable regime with periods of extreme low to no light. To test this, we compared the physiological and morphological responses of Thalassia hemprichii among three light regimes: an open control (30-40% ambient light), a shaded control with (11-15% ambient light), and a fluctuating shade (4-30% ambient light). The MLR for the T. hemprichii we studied was lower (4-10% ambient light) than previous reports (mean = 18%) illustrating enhanced light acclimation in Singapore's chronically turbid waters. Seagrass shoots in the shaded control, however, exhibited significantly more morphological stress symptoms, with reduced shoot growth and lower below ground biomass. These data suggest that for seagrass exposed to periods of acute light stress, energetic costs associated with photo-acclimation to more variable light regimes can be offset If the plant can meet its daily light requirements during periods of high light. Management of seagrass beds should incorporate regular light monitoring and move towards an adaptive feedback-based approach to ensure the long-term viability of these vulnerable ecosystems. (C) 2017 Elsevier Ltd. All rights reserved.				Yaakub, Siti Maryam/V-2246-2017	Yaakub, Siti Maryam/0000-0002-5703-5189												0272-7714	1096-0015				DEC 5	2017	199						87	95		10.1016/j.ecss.2017.09.034								WOS:000415776100008						
J	Gilby, BL; Olds, AD; Connolly, RM; Yabsley, NA; Maxwell, PS; Tibbetts, IR; Schoeman, DS; Schlacher, TA				Gilby, Ben L.; Olds, Andrew D.; Connolly, Rod M.; Yabsley, Nicholas A.; Maxwell, Paul S.; Tibbetts, Ian R.; Schoeman, David S.; Schlacher, Thomas A.			Umbrellas can work under water: Using threatened species as indicator and management surrogates can improve coastal conservation	ESTUARINE COASTAL AND SHELF SCIENCE												Species surrogates, the use of particular species to index habitat condition or to represent ecological assemblages are commonly identified in many ecosystems, but are less tested, and therefore less employed in estuaries. Estuaries provide important ecosystem goods (e.g. harvestable species) and services (e.g. carbon processing, coastal armouring), but require protection from multiple human activities, meaning that finding surrogates for estuarine condition or faunal assemblages is a significant knowledge gap. In this study, we test the efficacy of the threatened estuary ray Hemitrygon fluviorum, as a suitable indicator of ecosystem condition and management umbrella surrogate species for conservation prioritisation and monitoring purposes within estuaries. We surveyed fish assemblages and ray presence at ten sites within each of 22 estuaries in southeast Queensland, Australia, using one hour deployments of baited video arrays. We then tested for correlations between ray presence, a series of environmental variables considered important to ecosystem management within estuaries (i.e. testing rays as indicator species), and the co-occurring fish species (i.e. testing rays as umbrella species). Estuary rays function as both umbrella species and ecological indicators of habitat status in subtropical Australian estuaries. As umbrellas, ray occurrence concords with elevated species richness. As ecological indicators, ray distribution concords with habitats of good water quality (especially low turbidity) and more natural vegetation remaining in the catchment. These results highlight the potential for other threatened aquatic vertebrates that are both readily detectable and that are reliable proxies for ecosystems status to be become useful management tools in estuaries. The protection of such large, threatened species in coastal seascapes allows managers to address multiple targets for conservation, especially; (1) protecting species of conservation concern; (2) maintaining diversity; and (3) protecting optimal habitats by better placing reserves. (C) 2017 Elsevier Ltd. All rights reserved.				Connolly, Rod/C-4094-2008	Connolly, Rod/0000-0001-6223-1291; Schlacher, Thomas/0000-0003-2184-9217												0272-7714	1096-0015				DEC 5	2017	199						132	140		10.1016/j.ecss.2017.10.003								WOS:000415776100013						
J	Diamahesa, WA; Masumoto, T; Jusadi, D; Setiawati, M				Diamahesa, Wastu Ayu; Masumoto, Toshiro; Jusadi, Dedi; Setiawati, Mia			GROWTH AND PROTEIN CONTENT OF Ulva prolifera MAINTAINED AT DIFFERENT FLOW RATES IN INTEGRATED AQUACULTURE SYSTEM	JURNAL ILMU DAN TEKNOLOGI KELAUTAN TROPIS												Efforts to reduce the impact of waste improvement on degradation of water quality can be transferred by utilization of inorganic waste as a source of seaweed nutrition. This study aimed to determine the growth and protein content of Ulva prolifera maintained at different flow rates in integrated aquaculture system. 9 Yellowtail stocked with 5.095 g with an average weight of 566.11 +/- 81.51 g were kept in 540 L tank for 24 days, by water flowing at the rate of 10 L min(-1). Water from the fish tank was distributed into the sediment tank and go to 6 Ulva tanks with the flow rate of 0.5, 1.0 and 1.5 L min-(1). Test parameters measured were growth performance of Yellowtail, biomass of Ulva prolifera, protein content of Ulva prolifera, and total ammonia nitrogen. The measurement results showed that the biomass of fish increased to 5.408 g, then biomass of Ulva increased to 42 g, 156 g and 155 g for flow rate of 0.5 L, 1 L and 1.5 L min-1, respectively. The protein content of Ulva for all the treatments was the same (P>0.05). A total of ammonia in the tank outlet of Ulva (0.0202 - 0.1137 mg N L-1) were smaller than those were in the inlet (0.0286 - 0.1394 mg N L-1).																	2087-9423	2085-6695				DEC	2017	9	2					429	441		10.29244/jitkt.v9i2.19257								WOS:000425214500001						
J	Susiana; Niartiningsih, A; Amran, MA; Rochmady				Susiana; Niartiningsih, Andi; Amran, Muh. Anshar; Rochmady			SUITABILITY OF LOCATION FOR RESTOCKING CLAMS TRIDACNIDAE IN THE SPERMONDE ARCHIPELAGO	JURNAL ILMU DAN TEKNOLOGI KELAUTAN TROPIS												Efforts to protect giant clams from extinction one of them through conservation, which set a region as a restocking area. The research aimed to analyze the suitability environments with the density giant clams in the aquatic. The research conducted in September 2013-January 2014. The research site was determined by purposive sampling of middle inner zone = MIZ, middle outer zone = MOZ, and outer zone = OZ in the aquatic of Spermonde Archipelago. The research conducted was using observation method of biology, physics, and chemistry parameters of aquatic at mintakat reef flats, reef slope and reef base. Data analysis of location suitability of restocking giant clams using WSM method (and correlation analysis of giant clams density with water quality, then integrated with ALOS Avnir-2 image. The result research shows the density giant clams influenced by the physical environment parameters, mainly salinity, brightness and depth. The suitability location of restocking giant clams for class Very suitable in P. Langkadea and P. Pala (MOZ), P. Cangke (OZ), P. Tambakulu and P. Kondongbali (OZ) on mintakat reef flats. Class Very suitability on reef slope in P. Kondongbali and P. Kapoposang (OZ). Class accordance with the reef flats, there are P. Podang Podang Lompo (MOZ), P. Sarappo Keke (OZ) and P. Kapoposang (OZ). Class Appropriate to reef slope mintakat in P. Langkadea (MOZ) and P. Sarappo Keke (OZ). Determination of giant clams restocking area in nature needs considers the location suitability, primarily the quality of aquatic physics.					Susiana, Susiana/0000-0002-6792-0069; Rochmady, Rochmady/0000-0002-5152-9727												2087-9423	2085-6695				DEC	2017	9	2					475	490		10.29244/jitkt.v9i2.19284								WOS:000425214500005						
J	Purnamaningtyas, SE; Hedianto, DA; Riswanto				Purnamaningtyas, Sri Endah; Hedianto, Dimas Angga; Riswanto			RELATIONS OF SEVERAL PHYSICOCHEMICAL PARAMETERS AND PHYTOPLANKTON IN COASTAL KUBU RAYA DISTRICT, WEST KALIMANTAN	JURNAL ILMU DAN TEKNOLOGI KELAUTAN TROPIS												This research was conducted in April, July and October 2013 at 8 (eight) stations: 1. Tj. Intan, 2. Tj. Tempurung, 3. Tj. Bunga Dalam, 4. Tj. Bunga dalam, 5. Tj. Burung, 6. P. Dabung, 7. Tasik Malaya, and 8. Tj. Harapan. This study aims to determine the relationship between several physic-chemical parameters and phytoplankton abundance. The results show the growth of phytoplankton biomass (chlorophyll a) was determined by high concentration of NH4 and NO3, while its growth is limited by turbidity (turbidity). Station that has high fertility in the Coastal District of Kubu Raya is Dabung Island.																	2087-9423	2085-6695				DEC	2017	9	2					727	737		10.29244/jitkt.v9i2.19305								WOS:000425214500026						
