PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Drira, Z; Sahnoun, H; Ayadi, H				Drira, Zaher; Sahnoun, Houda; Ayadi, Habib			Spatial Distribution and Source Identification of Heavy Metals in Surface Waters of Three Coastal Areas of Tunisia	POLISH JOURNAL OF ENVIRONMENTAL STUDIES												The concentrations of selected dissolved trace elements (Ni 446-919 mu g L-1, Pb 383-1015, Fe 195-739, Cu 217-318, Cr 156-336, Zn 9-236, Mn 0-187, Co 0-310, and Cd 26-77) were assessed in the surface water of 30 stations belonging to three coastal areas along the Gulf of Gabes, i.e., the southern (stations 1-10) and northern (stations 11-20) coastal areas of Sfax and the Ghannouch area (stations 2130) during October and November 2014. Results showed that dissolved metals in surface waters, which were analyzed by means of flame atomic absorption spectrophotometry, followed the concentration levels (Pb>Ni>Fe>Cu>Cr>Co>Mn>Cd>Zn) on the southern and (Ni>Pb>Fe>Cu>Cr>Zn>Mn>Co>Cd) on the northern coasts of Sfax, and (Ni>Fe>Pb>Cu>Cr>Zn>Co>Cd>Mn) in the Ghannouch area. In the southern and the northern coasts of Sfax, all analyzed metals were detected in 100% of sampled stations except Co, which was revealed in 90 and 80% of stations, respectively. However, in the Ghannouch area all analyzed metals were detected in 100% of sampled stations except Mn, which was revealed in 70% of stations. These trace elements, except for Fe and Mn, exceeded the safety limit of the USEPA water quality criteria for the protection of aquatic fauna and flora survival and their uses. The Sfax and Ghannouch coastal areas should be considered relatively polluted with metals (Zn, Ni, Pb, Co, Cr, Cd, and Cu). The elevated metal contents were attributed to anthropogenic waste inputs around the study area. The main sources of Ni and Co loading in the seawater were the SIAPE phosphoric acid and fertilizer plant and a waste water treatment plant located close to station 1. Whereas the fishing harbor of Sfax, which is situated on the southern coast (station 9), is the second source of high amounts of Cd, Mn, Cr, and Pb. This situation has led to serious human health risks and chronic toxicity caused by their potential bioaccumulation in some aquatic fauna such as shrimp, fish, crab, shellfish, mollusk, and cephalopoda.																	1230-1485	2083-5906					2017	26	3					1057	1069		10.15244/pjoes/67529								WOS:000403567900011						
J	Piontek, M; Czyzewska, W; Mankiewicz-Boczek, J				Piontek, Marlena; Czyzewska, Wanda; Mankiewicz-Boczek, Joanna			The Occurence of Cyanobacteria Blooms in the Obrzyca River Catchment Area (Poland), a Source of Drinking Water	POLISH JOURNAL OF ENVIRONMENTAL STUDIES												The issues presented in this study concern the important problem of the occurrence of cyanobacterial blooms in surface water used for water supply purposes. The objective of this study was to analyze the occurrence of cyanotoxic risk in the catchment area of the Obrzyca River, which is a source of drinking water for the inhabitants of Zielona Gora. At the points of Uscie and at its tributary at Wojnowo, the river was more exposed to the blooms of toxigenic algae, whose active microcystins synthesize more here than in other places (Sadowo, Chwalim, Ostrzyce, Lubiatow). Throughout the study, conducted in 2008-12, we observed several times that the amounts of cyanobacteria exceeded 500.10(3) individuals per litre (ind. .dm(-3)). The observed cyanobacterial blooms were dominated by the following species: Dolichospermum flos-aquae and Planktothrix agardhii in the Obrzyca River at Uscie, and D. spiroides, D. affinis, and Aphanizomenon flos-aquae at its tributary in Wojnowo. The maximum value of intracellular MC-LR, totalling 21.4 mu g.dm(-3), was found at Wojnowo in September 2011. The analysis of the physico-chemical water quality indicators showed that the places along the Obrzyca River where periodic cyanobacterial blooms took place were characterized by eutrophic conditions, and the total nitrogen to total phosphorus ratio (N/P) fell within the range of 10 to 16, and the water temperature exceeded 20 degrees C. In order to assess the toxic hazard caused by periodic cyanobacterial blooms in the catchment area of the Obrzyca River for drinking water for Zielona Gora residents, regular monitoring of the cyanobacteria and their toxins is required-especially at the points in Uscie and Wojnowo as well as at the water intake at the water treatment plant (WTP) in Zawada (in central-western Poland).				Mankiewicz-Boczek, Joanna/J-2427-2018	Mankiewicz-Boczek, Joanna/0000-0001-7358-0673												1230-1485	2083-5906					2017	26	3					1191	1201		10.15244/pjoes/66851								WOS:000403567900026						
J	Xu, W; Dong, ZC; Hao, ZC; Li, DY; Ren, L				Xu, Wei; Dong, Zengchuan; Hao, Zhenchun; Li, Dayong; Ren, Li			River Health Evaluation Based on the Fuzzy Matter-Element Extension Assessment Model	POLISH JOURNAL OF ENVIRONMENTAL STUDIES												The measured values of river health indexes that are not necessarily in the same range of a certain health grade level cause the problem of how to classify the actual status of river health. To solve such incompatibility and evaluate the health condition of a river ecosystem objectively we can use the river health integrated index (RHI), which was determined by the fuzzy matter-element extension assessment model (FMEAM). FMEAM was established by combining the fuzzy matter-element extension assessment method with the proposed aggregative index system. By employing the model above, as well as data from the 1980s, 1990s, and 2000s, we evaluated the health state of the Luanhe River. The results showed that the Luanhe River was in a sub-healthy state in the 1980s and in an unhealthy state in the 1990s and 2000s. The reasons leading to the Luanhe River's health degradation have been analyzed. Among them, water conservation projects' building and operations are the major influence factors. Waste water emissions, the expansion of urban built-up areas, over exploitation of groundwater, and other unreasonable human activities also intensified the river ecosystem degradation. Finally, countermeasures for the ecological restoration and protection of the river were put forward.																	1230-1485	2083-5906					2017	26	3					1353	1361		10.15244/pjoes/67369								WOS:000403567900042						
J	Zeng, L; He, F; Zhang, Y; Liu, BY; Dai, ZG; Zhou, QH; Wu, ZB				Zeng, Lei; He, Feng; Zhang, Yi; Liu, Biyun; Dai, Zhigang; Zhou, Qiaohong; Wu, Zhenbin			How Submerged Macrophyte Restoration Promotes a Shift of Phytoplankton Community in a Shallow Subtropical Lake	POLISH JOURNAL OF ENVIRONMENTAL STUDIES												Submerged macrophyte restoration has been widely used to decrease phytoplankton and combat eutrophication in many temperate shallow lakes. However, very limited studies have been done to explore its potential in decreasing phytoplankton in subtropical shallow lakes. We hypothesize that macrophyte restoration can also decrease phytoplankton and shift community structures in subtropical shallow lakes. In order to test our hypothesis, we consistently investigated submerged macrophytes, nutrients, and phytoplankton for three years in a shallow subtropical lake. Multiple analytical methods were employed to assess the effect of macrophyte restoration on the phytoplankton community. The results showed that the density and biomass of total phytoplankton after restoration were less compared to those before the restoration. During the restoration, species diversity significantly increased every year, but the change in species richness was not significant. Moreover, phytoplankton community structure also transformed greatly. Especially cyanobacteria density gradually decreased until almost disappeared; Chlorophyta density also significantly decreased from 4.6 x 10(6) cell/L to 1.9 x 10(6) cell/L. Although changes in the densities of other groups were not significant, their ratios in total phytoplankton significantly increased. The changes in four dominant species were also significant during the restoration, with Microcystis aeruginosa, M. incerta, and Chlamydomonas sp. significantly decreasing, but Chlorella pyrenoidosa significantly increasing. Correlation analysis between phytoplankton and environmental factors (macrophyte and water quality) showed that macrophytes were negatively correlated with total phytoplankton, TN, and COD, but total phytoplankton was positively correlated with TN and COD. These relations indicated that macrophyte restoration might not only directly inhibit phytoplankton growth, but also indirectly decrease phytoplankton by both bottom-up and top-down controls of phytoplankton. Therefore, these results basically proved our hypothesis, and more attention should be focused on this method in future lake management.																	1230-1485	2083-5906					2017	26	3					1363	1373		10.15244/pjoes/68228								WOS:000403567900043						
J	Hadjisolomou, E; Stefanidis, K; Papatheodorou, G; Papastergiadou, E				Hadjisolomou, Ekaterini; Stefanidis, Konstantinos; Papatheodorou, George; Papastergiadou, Evanthia			EVALUATING THE CONTRIBUTING ENVIRONMENTAL PARAMETERS ASSOCIATED WITH EUTROPHICATION IN A SHALLOW LAKE BY APPLYING ARTIFICIAL NEURAL NETWORKS TECHNIQUES	FRESENIUS ENVIRONMENTAL BULLETIN												Eutrophication is a serious problem that affects water quality and it may cause Harmful Algal Bloom (HAB) events with many unpleasant consequences. For that purpose, an Artificial Neural Network (ANN) was developed able to forecast one month ahead the Chlorophyll-a (Chl-a) levels and by that way to act as a warning tool when a HAB event might follow. Sampling data from eleven monitoring stations were collected from Lake Pamvotis (Greece), a shallow hypereutrophic lake, affected by HABs. The created ANN managed with high accuracy to simulate the next month's Chl-a concentration, establishing it as a reliable predictor that represents well the non-linear relationships between the Chl-a and the environmental parameters. The significance of each environmental parameter associated with eutrophication was also examined. Focusing on the contribution of the environmental parameters three different methods that give the ANN model sensitivity are applied: (i) the 'Perturb' method; (ii) the 'Weights' method; (iii) the `PaD' ('Partial Derivatives') method. A combined parameter importance index was introduced, in order to overcome the computational differences resulted from the three methods. The combined interpretation of the results produced led to useful conclusions regarding the effect of each parameter on the eutrophication process.																	1018-4619	1610-2304					2017	26	5					3200	3208										WOS:000403134800013						
J	Coghill, TG; Stevanovic, G; Todorovic, K; Dragojlovic, J; Obradovic, JM; Golic, D; Kostic, B				Coghill, Tamara Galonja; Stevanovic, Goran; Todorovic, Kristina; Dragojlovic, Joko; Obradovic, Jelena Matijasevic; Golic, Darko; Kostic, Boban			ENVIRINMENTAL SHOCK MOMENTS CREATED BY SPOT POLLUTION OF THE DANUBE CAUSED BY FLOATING CATERING FACILITIES	FRESENIUS ENVIRONMENTAL BULLETIN												The Danube is an international river and, as such, a subject to a special level of protection, assuming identical water quality at entry point into any country and exit from it. Anthropogenic activities greatly alter the water quality of the Danube, physico-chemicaly and biologically. Water quality monitoring is therefore a priority activity, in order to assess arising environmental risks and act accordingly. Floating catering facilities (i.e. raft restaurants) on the Danube in Serbia may compromise physical, chemical and biological conditions of the river water. Those use septic tanks, emptied directly into the river, without treatment of any kind. The composition of this waste corresponds to the category of municipal waste, and as such is rich in organic matter at various stages of decomposition, as well as foecal bacteria, many of which are opportunistic pathogens. In order to examine the impact of such facilities on river water, micro-hydrolo-cation of raft restaurant "Noah's Ark" in Novi Sad was used, as a representative of the type, with the permission of the Management Board. The water was sampled in the vicinity, upstream and downstream, during normal operation, and during the discharge of its septic tank. Physical, chemical and bacteriological water quality parameters were evaluated. The results of the study show the possibility of the occurrence of ecological shock moments, related to the discharge of wastewater into the Danube, which are detectable in a range of changes in the oxygen regime to restructuring entire bacteriobiocoenotic communities in the surrounding water.																	1018-4619	1610-2304					2017	26	5					3358	3364										WOS:000403134800031						
J	Jiang, HM; Si, WT; Li, X				Jiang, Haiming; Si, Wantong; Li, Xia			A NOVEL BIOSENSOR BASED ON MICROBIAL ELECTROLYSIS CELL FOR RAPID ANALYSIS OF BIOCHEMICAL OXYGEN DEMAND	FRESENIUS ENVIRONMENTAL BULLETIN												BOD measurement is often required for evaluation of water quality. Most used 5-day BOD measurement method is time consuming and requires skills. Although MFC based biosensors can measure BOD rapidly, they suffer oxygen leakage problem, damping the wide spread application. In this study, a novel biosensor for rapid determination of BOD was developed based on microbial electrolysis cell (MEC) technique, and its performance was evaluated. The biosensor utilized maximum current and coulomb yield as indicators of BOD level. For the best performance, system parameters were optimized as external applied voltage to be 0.7-0.9 volts, artificial BOD to be 10 to 100 mg/L when maximum current was measured and 10 to 400 mg/L when coulomb yield was measured. At the optimal conditions, the sensor responded to BOD linearly and was able to complete each measure in 10 min and 80-400 min respectively using maximum current and coulomb yield as BOD indicator. The repeatability of the system was high as indicated by relative standard deviation less than +/- 13% for 6 measurements. For stability test, the system was stable over a period of 12 days as evaluated by relative standard deviation less than +/- 10.3%. These results demonstrated that MEC can be employed as a biosensor for on-line or off-line monitoring of BOD.																	1018-4619	1610-2304					2017	26	5					3455	3464										WOS:000403134800044						
J	Huang, TM; Yang, S; Pang, ZH				Huang, Tianming; Yang, Shuo; Pang, Zhonghe			HYDROGEOCHEMISTRY EVOLUTION AND FLUORIDE ACCUMULATION IN AN ARID PIEDMONT ALLUVIAL-PROLUVIAL PLAIN	FRESENIUS ENVIRONMENTAL BULLETIN												In the north arid and semiarid China, many sites have been suffering from high fluoride in drinking waters, such as the inland Tailan River Basin, where groundwater fluoride can reach 3.4 mg/L, compared to 1 mg/L of the Chinese standards for drinking water quality. In this paper, water chemistry and isotopes (H-2, O-18, H-3) were used to study hydrogeochemical evolution and fluoride accumulation. The results show that from river water to groundwater in the upper and lower part of the piedmont alluvial-proluvial plain, the main ions and fluoride shows systematic increase. The saturation index of fluorite seems to control the maximum fluoride content. Fluoride-minerals in the aquifers will continue to dissolve when fluorite is under saturated. Stable isotopes show that evaporation is not obvious during groundwater recharge and fluoride accumulation by evaporation concentration is limited. The high fluoride in groundwater is primarily caused by the protogenic geochemical processes in the basin.				Huang, Tianming/C-1962-2008	Huang, Tianming/0000-0002-0507-5007												1018-4619	1610-2304					2017	26	5					3569	3576										WOS:000403134800057						
J	Saluja, R; Garg, JK				Saluja, Ridhi; Garg, J. K.			Macrophyte species composition and structure along littoral region in relation to limnological variables of a tropical wetland ecosystem	CHEMISTRY AND ECOLOGY												The composition and structure of macrophyte communities of the littoral region of Bhinda was wetland (India) was investigated. Two hypotheses were tested: (1) if limnological variables such as water chemistry and soil parameters are important determinants of species composition and abundance and (2) what is the variance in species richness and composition within the wetland. Twenty-eight macrophyte species belonging to 17 different families were identified with relatively low species diversity and richness (H' = 2.09; Margalef index = 1.12). Eichhornia crassipes, attained the highest relative frequency (22.69%), followed by Salvinia natans, Paspalum paspaloides, Phragmites karka, Cynodon dactylon and Cyperus alopecuroides. The first and second axis of CCA ordination explained 38.4% and 28.5% of the total variance of species-limnological variables relationship, respectively. Water-related variables (dissolved oxygen, pH and nitrate concentration) and soil nutrient factors (soil carbon and phosphorus levels) were significantly correlated to macrophyte distribution. Sampling sites formed two distinct groups based on cluster analysis, indicating varying ecological conditions. Generally, composition and abundance of macrophytes evince highly productive nature of the lake, while dominance of invasive species like E. crassipes and S. natans indicates high influence of increased nutrient levels and anthropogenic activities in the catchment on lake macrophyte composition.					GARG, J K/0000-0002-9222-177X; Saluja, Ridhi/0000-0003-0696-2297												0275-7540	1029-0370					2017	33	6					499	515		10.1080/02757540.2017.1328502								WOS:000403004900002						
J	Sardoo, FS; Azareh, A				Sardoo, Farshad Soleimani; Azareh, Ali			Evaluating the Trend of Changes in Groundwater Quality Parameters (Case Study: Jiroft Plain)	EUROPEAN JOURNAL OF SUSTAINABLE DEVELOPMENT												In recent decades, population growth and development of agriculture, indiscriminate increase and exacerbate the decline in the quality of groundwater resources in most parts of the country. Thus, given the importance of this research to study the spatial and temporal changes in parameters of calcium, magnesium, pH, chloride, sodium sulfate and water in Jiroft discussed. The data from 40 wells in the region of Kerman province in 2002 - 2012 water harvesting and qualitative analysis had been done on it was used. In this regard, after normalizing the data to evaluate the accuracy of different geostatistical methods including the kriging and inverse distance weighted, and then map the spatial zoning in the software quality parameters ArcGIS9.3 was prepared using the best method of interpolation. The results showed that the amount of calcium, pH and chlorine in the water and magnesium, and sodium sulfate also has declined. But the quality of groundwater resources Jiroft in general in 2012 compared to 2002, decreased and the process of change if they do go to the South and West Water quality is reduced.																	2239-5938	2239-6101					2017	6	2					200	208		10.14207/ejsd.2017.v6n2p201								WOS:000402441600017						
