PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Kimura, K; Yamamoto, S		Mannina, G		Kimura, K.; Yamamoto, S.			Performance of a Baffled Membrane Bioreactor (BMBR) Operated with Sponge Biomass Carriers: Substantial Reduction in Operational Energy	FRONTIERS IN WASTEWATER TREATMENT AND MODELLING, FICWTM 2017	Lecture Notes in Civil Engineering				Frontiers International Conference on Wastewater Treatment (FICWTM)	MAY 21-24, 2017	Univ Palermo, Palermo, ITALY	Int Water Assoc	Univ Palermo			The authors have proposed a baffled membrane bioreactor (BMBR) that can eliminate the energy needed for the mixed liquor circulation. A combination of the BMBR concept and use of biomass carriers is promising, and a substantial reduction in energy consumption should be possible. In this study, a pilot-scale BMBR treating municipal wastewater was operated with sponge biomass carriers and its performance was investigated in terms of treated water quality and energy consumption (aeration intensity). Long-term operation of the BMBR revealed that aeration demand for the BMBR was substantially reduced with minimal membrane fouling and excellent nitrogen removal being achieved. The expected energy consumption (aeration intensity) in a full-scale BMBR operated with sponge carriers is very low, definitely lower than the values in "normal" MBRs. With the proposed modification of the MBR, processes using MBRs will no longer be considered to be energy-intensive processes.																	2366-2557		978-3-319-58421-8; 978-3-319-58420-1				2017	4						153	158		10.1007/978-3-319-58421-8_23								WOS:000430181700023						
S	Blandin, G; Comas, J; Rodriguez-Roda, I		Mannina, G		Blandin, Gaetan; Comas, Joaquim; Rodriguez-Roda, Ignasi			Potential and Challenges of Osmotic Membrane Bioreactor (OMBR) for (Potable) Water Reuse: A Pilot Scale Study	FRONTIERS IN WASTEWATER TREATMENT AND MODELLING, FICWTM 2017	Lecture Notes in Civil Engineering				Frontiers International Conference on Wastewater Treatment (FICWTM)	MAY 21-24, 2017	Univ Palermo, Palermo, ITALY	Int Water Assoc	Univ Palermo			Recently, forward osmosis (FO) has been applied to the context of membrane bioreactor (MBR) and is called osmotic MBR (OMBR). This promising process relying on a dense FO membrane and osmotic gradient demonstrated higher rejections of all contaminants and lower fouling propensity than for MBR. The concept that we developed aims at (partially) retrofit existing MBR into OMBR. In addition to the use of existing MBR installation, such process also allows for combined operation of MBR and OMBR to avoid salinity build-up and to be flexible/reversible in term of operation in MBR/OMBR modes to fit with (seasonal) water quality needs. The study presented aimed at validating the proof of concept of such retrofitting which includes also the development of OMBR/FO module with similar performance than MBR/UF ones. As such, OMBR plate were designed based on Kubota MF cartridge 203 design and using new generation of thin film composite FO membrane. Then, pilot tests were conducted using a 50L MBR/OMBR pilot for two months. Stable operation was obtained in terms of depuration efficiency and water flux. Salinity build up occurred in the reactor, but conductivity was maintained below 3 mS.cm(-1) thanks to the salt purge via the MBR permeate. Fouling was observed both for MBR and OMBR operation; however, for OMBR, osmotic backwash every 3 days allowed for complete removal of the fouling layer. Finally, 90% rejection of all pharmaceuticals compounds tested was observed in OMBR operation as a result of combined biological degradation and high rejection of FO membranes.																	2366-2557		978-3-319-58421-8; 978-3-319-58420-1				2017	4						188	192		10.1007/978-3-319-58421-8_29								WOS:000430181700029						
S	Sgroi, M; Pelissari, C; Avila, C; Sezerino, PH; Vagliasindi, FGA; Garcia, J; Roccaro, P		Mannina, G		Sgroi, M.; Pelissari, C.; Avila, C.; Sezerino, P. H.; Vagliasindi, F. G. A.; Garcia, J.; Roccaro, P.			Removal of Conventional Water Quality Parameters, Emerging Contaminants and Fluorescing Organic Matter in a Hybrid Constructed Wetland System	FRONTIERS IN WASTEWATER TREATMENT AND MODELLING, FICWTM 2017	Lecture Notes in Civil Engineering				Frontiers International Conference on Wastewater Treatment (FICWTM)	MAY 21-24, 2017	Univ Palermo, Palermo, ITALY	Int Water Assoc	Univ Palermo			Constructed wetlands (CWs) are nature-based wastewater treatment systems, which are often implemented in decentralized areas and small communities. In recent decades, the CW technology has rapidly evolved through the use of various designs and operational modes or other intensifications so as to improve effluent water quality with respect to various pollutants from wastewater. In the present study, the removal of conventional water quality parameters, emerging organic contaminants (EOCs) and fluorescence signature was investigated in a hybrid constructed wetland system comprising different CW configurations: (i) unsaturated vertical subsurface flow (VF), (ii) partial saturated vertical subsurface flow (VF sat), (iii) saturated horizontal flow (HF) and (iv) free water surface (FWS) wetlands. The obtained results showed higher removal of BOD5, COD and fluorescing organic matter in the aerobic VF reactor, whereas the anoxic HF wetland was the most efficient unit for nitrogen removal. The partially saturated VF wetland showed a greater performance in the reduction of nitrogen and highly biodegradable EOCs than the unsaturated VF bed. Finally, linear regression analyses performed between removal of water quality parameters, EOCs and fluorescence measurements suggested the possibility to use fluorescence indexes as useful indicators of water treatment efficacy and/or surrogate parameters for EOCs monitoring.																	2366-2557		978-3-319-58421-8; 978-3-319-58420-1				2017	4						313	317		10.1007/978-3-319-58421-8_50								WOS:000430181700050						
S	Parrino, F; Roda, GC; Loddo, V; Palmisano, L		Mannina, G		Parrino, F.; Roda, G. Camera; Loddo, V.; Palmisano, L.			REWAQUA: An Advanced Technology for Water Purification in Sustainable Aquaculture Based on Photocatalytic Ozonation	FRONTIERS IN WASTEWATER TREATMENT AND MODELLING, FICWTM 2017	Lecture Notes in Civil Engineering				Frontiers International Conference on Wastewater Treatment (FICWTM)	MAY 21-24, 2017	Univ Palermo, Palermo, ITALY	Int Water Assoc	Univ Palermo			The present study has been undertaken in order to test the real potential of photocatalytic ozonation in a bench-scale recirculating aquaculture system working on a 180 L reef coral aquarium. Notably, this choice may be considered representative. In fact, (i) the system is virtually closed so that fresh water turnover is practically negligible, (ii) the presence of living organisms is highly diversified (corals, fishes, molluscs, echinoderms and crustaceans) and some of them are particularly sensitive to water quality, (iii) high salinity strongly puts a strain on the purification system. The hereby presented purification method has been named REWAQUA, which stands for REcycling Water for AQUAculture and AQUAria. REWAQUA allows purification rates higher than the sum of the rates of the single technologies (photocatalysis and ozonation) operating in series. Furthermore the production of bromate ions, which are carcinogenic by-products of ozonation, is efficiently controlled. Two years observation of the reef coral aquarium reveals that photocatalytic ozonation is a good candidate for water purification in recirculating systems in view of a sustainable aquaculture.																	2366-2557		978-3-319-58421-8; 978-3-319-58420-1				2017	4						318	323		10.1007/978-3-319-58421-8_51								WOS:000430181700051						
S	Sabba, F; Calhoun, J; Johnson, BR; Daigger, GT; Kovacs, R; Takacs, I; Boltz, J		Mannina, G		Sabba, F.; Calhoun, J.; Johnson, B. R.; Daigger, G. T.; Kovacs, R.; Takacs, I.; Boltz, J.			Applications of Mobile Carrier Biofilm Modelling for Wastewater Treatment Processes	FRONTIERS IN WASTEWATER TREATMENT AND MODELLING, FICWTM 2017	Lecture Notes in Civil Engineering				Frontiers International Conference on Wastewater Treatment (FICWTM)	MAY 21-24, 2017	Univ Palermo, Palermo, ITALY	Int Water Assoc	Univ Palermo			One-dimensional (1-D) biofilm models have been demonstrated reliable for specific types of biofilm reactor design. Limitations using mechanistic biofilm models for engineering design do not rely on improved biofilm models, but rely on improved biofilm reactor models. This is important when considering that biofilm reactors containing submerged, free-moving biofilm carriers are the most widely applied biofilm system(s) for municipal wastewater treatment. This paper presents a new biofilm reactor model that considers the impact of submerged free-moving biofilm carrier (Xcarrier) movement on system performance. The model accounts for a hydrodynamic condition characterized as plug flow with back mixing (to model axial dispersion). The relevance of this new biofilm reactor model to engineering situations is evaluated by applying it to relevant scenarios and comparing model results.																	2366-2557		978-3-319-58421-8; 978-3-319-58420-1				2017	4						508	512		10.1007/978-3-319-58421-8_79								WOS:000430181700079						
S	Pham, HH; Wouters, Y; Dalmau, M; Comas, J; Smets, I		Mannina, G		Pham, H. H.; Wouters, Y.; Dalmau, M.; Comas, J.; Smets, I.			Reshaping the Activated Sludge Model ASM2d for Better Manageability and Higher Integration Potential	FRONTIERS IN WASTEWATER TREATMENT AND MODELLING, FICWTM 2017	Lecture Notes in Civil Engineering				Frontiers International Conference on Wastewater Treatment (FICWTM)	MAY 21-24, 2017	Univ Palermo, Palermo, ITALY	Int Water Assoc	Univ Palermo			The European Water Framework Directive has pointed out that the best model for water management is management by river basin. However, to obtain an overview of the water quality in a river basin system, one has to look at the individual components of the system such as the sewer network, the wastewater treatment plant and the receiving water bodies and the interaction between them. Within this study, we develop an adjusted model from the original state-of-the-art activated sludge ASM2d model with as main focus to maximize the compatibility with the sewage and river water quality models while still assuring a sufficient prediction capacity of the activated sludge system. To this end, and to avoid the commonly required fractionation into the classic activated sludge model state variables, the latter are directly derived from the outputs of the sewage model (e.g., BOD5, COD, TN or TP) for the adjusted model. Furthermore, the modified ASM2d model is made more realistic and can be more broadly applied due to the re-introduction of organic nitrogen and phosphorus component state variables. While developed on the basis of the data of a wastewater treatment plant in Belgium, the validation of the adjusted model on a data set of a wastewater treatment plant in Girona (Spain) is highly promising.																	2366-2557		978-3-319-58421-8; 978-3-319-58420-1				2017	4						583	587		10.1007/978-3-319-58421-8_91								WOS:000430181700091						
B	Radulescu, V		Pascu, LF; Lehr, CB; Tiron, O; Vasile, GG		Radulescu, Victorita			NEW SOLUTION IN REHABILITATION OF THE HYDRO-POWER SYSTEMS NOW IN RISK DUE TO THE INFILTRATION	20TH INTERNATIONAL SYMPOSIUM - THE ENVIRONMENT AND THE INDUSTRY (SIMI 2017)					20th International Symposium on The Environment and the Industry (SIMI)	SEP 28-29, 2017	Bucharest, ROMANIA	Romanian Acad, Natl Res & Dev Inst Ind Ecol, Romanian Soc Chem, Romanian Water Assoc, Romanian Environm Assoc, Acad Econ Studies, Fac Agro Food Econ & Environm, BCRS, Agilrom Sci, Tehno Instrument, Mediclim, Total Spectrum SRL, AMS 2000, ProAnalysis, Thermo Sci, REDOX, SARTOROM, ROMTECH, RONEXPRIM				In Romania, there are more than 200 dams realized during 1975-1990 from local materials, without any ulterior remediation or rehabilitations. Nowadays, many hydropower systems confront with infiltration through dams or lateral dikes, followed by unexpected erosions. In order to maintain the hydropower system active, the water level is drastically reduced, sometimes even with 10 m. Consequently, it means less water for the human necessities (water supply, irrigation), but mainly few resources to produce electric energy. The research paper starts by presenting the actual dams situation, structured on hydrographic basins. For the case study two hydropower lakes from Arges-Vedea hydrographic area that confront seepage through embankments were selected. In that area there are more than 100 lakes which confront with different functioning problems. The local geomorphologic structure and the water quality create an image of local functioning conditions. Further, there are briefly presented the mathematical and numerical models, elaborated as to establish the infiltration risk zones. The numerical model is tested and calibrated based on local conditions, showing the zone with erosion and infiltration risks. Finally, some conclusions, possibilities to extend the numerical model, the acknowledgements, and references are presented.																							2017							77	84		10.21698/simi.2017.0010								WOS:000430609800010						
B	Stanescu, B; Kim, L; Lehr, C; Stanescu, E		Pascu, LF; Lehr, CB; Tiron, O; Vasile, GG		Stanescu, Bogdan; Kim, Lidia; Lehr, Carol; Stanescu, Elena			ASSESSMENT OF THE ENVIRONMENTAL ASPECTS IN A CITY AREA AFFECTED BY HISTORICAL POLLUTION	20TH INTERNATIONAL SYMPOSIUM - THE ENVIRONMENT AND THE INDUSTRY (SIMI 2017)					20th International Symposium on The Environment and the Industry (SIMI)	SEP 28-29, 2017	Bucharest, ROMANIA	Romanian Acad, Natl Res & Dev Inst Ind Ecol, Romanian Soc Chem, Romanian Water Assoc, Romanian Environm Assoc, Acad Econ Studies, Fac Agro Food Econ & Environm, BCRS, Agilrom Sci, Tehno Instrument, Mediclim, Total Spectrum SRL, AMS 2000, ProAnalysis, Thermo Sci, REDOX, SARTOROM, ROMTECH, RONEXPRIM				The paper presents the results obtained by performing specific activities aimed to assess the quality of the soil and water components (surface and groundwater) in Copsa Mica, a small town from Romania, well known for the historical pollution recorded over several decades. It is known that the contamination was induced by the industrial activities carried out in the area, which is caused by sulfur dioxide air emissions and atmospheric particulate matters containing heavy metals, mainly cadmium, lead and zinc. The pollution of the city and the neighboring areas was mainly due to activities of two companies: SC Sometra SA (with a non-ferrous metallurgy profile, which before 1990 was considered the largest unit in the country) and SC Carbosin SA (with a chemical profile until its closing, in 1993). The assessment of the quality level of the environmental factors was carried out in 2016 through specific activities for soil and water quality investigation - sampling and physico-chemical analysis in R&D Institute for Industrial Ecology ECOIND laboratories, in order to highlight relevant elements of environmental quality of the above mentioned year, within a pre-established experimental field and targeting the limited area of the Copsa Mica city. As an important aspect, it is worth mentioning that the footprint of the pollution sources is still present in the area, even long after their activity has ceased. It is estimated that a soil and water monitoring could establish a dynamics of the quality parameters in the Copsa Mica area during the subsequent periods.																							2017							128	133		10.21698/simi.2017.0016								WOS:000430609800016						
B	Dede, OT; Misir, FY; Telci, IT		Pascu, LF; Lehr, CB; Tiron, O; Vasile, GG		Dede, Ozlem Tunc; Misir, Filiz Yazici; Telci, Ilker T.			THE USING OF PRINCIPAL COMPONENT ANALYSIS FOR THE ASSESSMENT OF WATER QUALITY IN KIRMIR BASIN	20TH INTERNATIONAL SYMPOSIUM - THE ENVIRONMENT AND THE INDUSTRY (SIMI 2017)					20th International Symposium on The Environment and the Industry (SIMI)	SEP 28-29, 2017	Bucharest, ROMANIA	Romanian Acad, Natl Res & Dev Inst Ind Ecol, Romanian Soc Chem, Romanian Water Assoc, Romanian Environm Assoc, Acad Econ Studies, Fac Agro Food Econ & Environm, BCRS, Agilrom Sci, Tehno Instrument, Mediclim, Total Spectrum SRL, AMS 2000, ProAnalysis, Thermo Sci, REDOX, SARTOROM, ROMTECH, RONEXPRIM				Water is one of the most important nutrient for human and also for aquatic organism. Poor water quality has adverse effects on human health and aquatic life. Hence, protecting the water resources from pollutants and the monitoring of water quality is important. In recent years, some kind of methods such as water quality index model, regression analysis, factor analysis, principal component analysis, cluster analysis, etc. has been developed for easy assessment and interpretation of large amount of water quality data. Among these methods, multivariate statistical analysis has an advantage of giving an idea about possible sources of pollution. In this study, the assessment of water quality of 10 different sampling station in Kirmir Basin which is one of the most significant drinking water resources of Ankara, the capital city of Turkey has been investigated by using multivariate statistical methods (principal component analysis-PCA and factor analysis-FA). 18 water quality parameters were analysed for each sampling station and used for the statistical analysis. The correlations between parameters and sampling stations were evaluated by using statistical techniques in terms of underlying factors. FA/PCA identified water quality parameters in five groups. The results revealed that Kirmir Basin was mainly affected from agricultural activities, urban land uses and livestock activities. The improving of the water quality in this region can be achieved by controlling these activities.																							2017							197	204		10.21698/simi.2017.0025								WOS:000430609800025						
B	Radulescu, V		Pascu, LF; Lehr, CB; Tiron, O; Vasile, GG		Radulescu, Victorita			CONTROL OF INORGANIC AND ORGANIC CONTAMINATION, ASSESSMENT OF WATER QUALITY IN HYDROPOWER LAKES ON JIU RIVER	20TH INTERNATIONAL SYMPOSIUM - THE ENVIRONMENT AND THE INDUSTRY (SIMI 2017)					20th International Symposium on The Environment and the Industry (SIMI)	SEP 28-29, 2017	Bucharest, ROMANIA	Romanian Acad, Natl Res & Dev Inst Ind Ecol, Romanian Soc Chem, Romanian Water Assoc, Romanian Environm Assoc, Acad Econ Studies, Fac Agro Food Econ & Environm, BCRS, Agilrom Sci, Tehno Instrument, Mediclim, Total Spectrum SRL, AMS 2000, ProAnalysis, Thermo Sci, REDOX, SARTOROM, ROMTECH, RONEXPRIM				In the last decades near the hydropower lakes, have developed numerous private companies and settlements that constantly uses water from these lakes. In many cases, the spills are not controlled and are not decontaminated properly or even at all. In the Jiu hydrographic basin, there are 225 localities with a population of more than 2,000 peoples. Only 32 of them are equipped with sewer systems and only 2 of them in accordance with Directive 91/271/EEC. As consequence of the pollution with organic and inorganic substances (nutrients) has appeared the eutrophication of the lakes. From the total 12-hydropower lakes with a surface over 50 ha, eight of them are clogged in the proportion of 60%, and 3 of them in a proportion of 80%. In the first part of the paper are analyzed the main punctual and diffuse sources of organic and inorganic pollution, with a decisive factor in the development of the aquatic vegetation. During 2010-2016, a systematic campaign of measurements was done. They were determined the protection zones that need to be tracked, the catchments zone for the human consumption, the zones for protected fish or of those species economically important, the natural protected areas, and the zones vulnerable to nitrate and nitrites. The obtained results are presented for the most affected hydropower lakes from the selected area. Finally, are mentioned some possibilities and measures necessary to be followed as to reduce the inorganic and organic pollution, some conclusions, acknowledgement and references.																							2017							221	228		10.21698/simi.2017.0028								WOS:000430609800028						
