PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Pitol, AK; Bischel, HN; Kohn, T; Julian, TR				Pitol, A. K.; Bischel, Heather N.; Kohn, Tamar; Julian, Timothy R.			Virus Transfer at the Skin-Liquid Interface	ENVIRONMENTAL SCIENCE & TECHNOLOGY												Understanding virus transfer between liquid and skin is necessary to estimate transmission during water related activities. Here, we modeled virus transfer from liquid-to-skin and skin-to-liquid. We performed human subject studies using three bacteriophages as pathogenic virus surrogates: nonenveloped MS2 and Q beta and enveloped Phi 6. Our study shows that transfer from liquid-to-skin is describable by a single model based on (1) virus concentration and (2) volume of liquid remaining on skin. Contact times (0.1-30 min)) and virus species had little-to-no influence on virus transfer. Likewise, liquid conditions (pH 6-9, ionic strength 10-550 mM) had no influence on transfer as shown for MS2. The model: accounts for both, virus adsorbed onto the skin, and virus in the liquid retained on skin. In comparison, virus transfer from skin-to-liquid was influenced by the wetness of the skin and by liquid type (water, saliva). 90 +/- 19% of the virus inoculated on the skin are transferred to the water when the skin remains wet compared to 30 +/- 17% when the skin is dry. The transfer from skin-to-liquid was 41% higher when the recipient liquid was water as compared with saliva. This study quantifies virus transfer between liquid and skin and guides risk assessments of water-related activities.					Julian, Timothy/0000-0003-1000-0306; Kohn, Tamar/0000-0003-0395-6561												0013-936X	1520-5851				DEC 19	2017	51	24					14417	14425		10.1021/acs.est.7b04949								WOS:000418625900045	29161027					
J	Xu, B; Li, KX; Qiao, J; Liungai, ZQ; Chen, C; Lu, Y				Xu, Bi; Li, Kuixiao; Qiao, Juan; Liungai, Zhiqi; Chen, Chao; Lu, Yun			UV photoconversion of environmental oestrogen diethylstilbestrol and its persistence in surface water under sunlight	WATER RESEARCH												As one of the most oestrogenic synthetic compounds in water environment, diethylstilbestrol (DES) has been studied for decades. Some studies showed that DES can be removed by ultraviolet (UV) irradiation, However, no one has paid attention to the formation of oestrogenic disinfection by-products (DBPs) and the persistence of DES in surface water remains a mystery. In this study, UV was found to be very effective in removing oestrogenic activity regardless of water quality. Three oestrogenic DBPs were specifically isolated by oestrogen receptor-based affinity chromatography and identified as 9,10-diethylphenanthrene-3,6-diol, cis-DES and Z,Z-dienestrol. Among them, 9,10-diethylphenanthrene-3,6-diol was proved to have stronger oestrogenic activity than E2, but it can be further photodegraded. In addition, DES was also demonstrated to be a photochromic compound, whose UV-induced intermediates can be transformed back to DES under sunlight, which significantly slows down the photodegradation of DES. This study solves the question as to why UV-degradable DES is still detectable in the ambient water and provides a deep understanding of DES removal during UV disinfection. (c) 2017 Published by Elsevier Ltd.				Qiao, Juan/M-1301-2014	Qiao, Juan/0000-0002-9919-3927												0043-1354					DEC 15	2017	127						77	85		10.1016/j.watres.2017.09.059								WOS:000418219000009	29035768					
J	Wells, MJM; Mullins, GA; Bell, KY; Da Silva, AK; Navarrete, EM				Wells, Martha J. M.; Mullins, Gene A.; Bell, Katherine Y.; Da Silva, Allegra K.; Navarrete, Eileen M.			Fluorescence and Quenching Assessment (EEM-PARAFAC) of de Facto Potable Reuse in the Neuse River, North Carolina, United States	ENVIRONMENTAL SCIENCE & TECHNOLOGY												The Neuse River, North Carolina, U.S., exemplifies a typical de facto potable reuse scenario, where drinking water sources are located downstream of treated wastewater effluent discharges. The study results imply that planned potable water reuse, whether in an indirect or direct potable reuse scenario, might provide better control over water quality than the status quo conditions. Using fluorescence excitation-emission matrix (EEM) measurements, anthropo-genic influence of a wastewater treatment plant (WWTP) discharge was observed in samples near the location of drinking water treatment plant (WTP) intakes, eight or more miles downstream of the WWTP, implying that anthropogenic compounds were not fully removed or degraded by natural processes in this reach of the river. PARAllel FACtor (PARAFAC) analysis supported a two-component model of humic-like and nonhumic-like dissolved organic matter (DOM). A nonmodeled anthropogenic feature was also indicated. Significantly, the quenched fluorescence of humic-like DOM (static and/or dynamic quenching) by nonhumic-like DOM-previously demonstrated for probe molecules but first reported here in a natural/anthropogenic-influenced system-offers exciting insight into studies of humic/nonhumic interactions with important implications for pollutant fate and transport, sensing applications, and water treatment. A molecular spectroscopic explanation for dual fluorescing peaks in amino acids and humic substances is postulated.					Wells, Martha/0000-0002-2230-3630												0013-936X	1520-5851				DEC 5	2017	51	23					13592	13602		10.1021/acs.est.7b03766								WOS:000417549500007	29148733					
J	Kuppusamy, S; Jayaraman, N; Jagannathan, M; Kadarkarai, M; Aruliah, R				Kuppusamy, Sathishkumar; Jayaraman, Narenkumar; Jagannathan, Madhavan; Kadarkarai, Murugan; Aruliah, Rajasekar			Electrochemical decolorization and biodegradation of tannery effluent for reduction of chemical oxygen demand and hexavalent chromium	JOURNAL OF WATER PROCESS ENGINEERING												Tannery effluent contains enormous quantities of toxic chemicals and high level of chemical oxygen demands, which gets directly discharged into natural aqueous system, thus contaminating the water quality. Hence, it is important to develop an eco-friendly and cost effective technology to treat the tannery effluent wastewater. Our present investigation on integrated approach of electrochemical oxidation (EO) of tannery effluent (TE) using RuO2-IrO2-TiO2 anode and titanium mesh electrode as cathode and followed by the biodegradation process (BP) of the treated EO effluent. Various parameters viz., sodium chloride concentration (NaCl) (1-5 g/L) and current density (10-30 mA/cm(2) ) are optimized. The agro waste peanut hull (PH) and rice hull (RH) are utilized as carbon source for biodegradation of tannery effluent. A maximum of 87% decolorization is observed at 5 g/L of NaCl concentration and 30 mA/cm(2) of current density after 135 min of EO treatment. The EO treated TE is further treated by BP with Pseudomonas stutzeri MN1, Acinetobacter baumannii MN3 and mixed consortia of MN1 and MN3. The 97% of chemical oxygen demand (COD) and 96% of Cr(VI) reduction was observed after 72 h of BP with mixed consortia and rice hull as carbon source. Thus, the integrated approach of EO with BP can be implied for complete a decolorization and degradation of tannery effluent.																	2214-7144					DEC	2017	20						22	28		10.1016/j.jwpe.2017.09.008								WOS:000431411700003						
J	Alexander, ML; Adeniran, A; Tovar, C				Alexander, Matthew L.; Adeniran, Adewale; Tovar, Caitlin			Modeling of water quality downgradient of a mulch biowall	REMEDIATION-THE JOURNAL OF ENVIRONMENTAL CLEANUP COSTS TECHNOLOGIES & TECHNIQUES												Groundwater treatment biowalls may be located close to a surface water body to prevent contaminant discharge from a groundwater plume into the surface water. Groundwater contaminants passing through the biowall are treated within the biowall or immediately downgradient of the biowall. Biowalls designed and constructed for the treatment of chlorinated solvents typically contain either a solid and/or liquid source of organic carbon to promote contaminant degradation by enhanced anaerobic reductive dechlorination. Common solid organicmaterials in biowalls include wood mulch or similar waste plant material, and common liquid organic materials are vegetable oil (possibly emulsified) or other long-chain fatty acids. Such biowalls then develop anaerobic conditions in the constructed biowall volume, and potentially downgradient, as dissolved oxygen originally present in the aquifer is consumed. This groundwater condition can lead to the appearance of sulfide if groundwater influent to the biowall contains moderate to high sulfate concentrations. Other researchers have presented evidence for groundwater conditions downgradient of a biowall or a permeable reactive barrier (PRB) that are altered in relation to groundwater quality, besides the desired effect of contaminant degradation or removal by precipitation. The objective of this work was to investigate with modeling the changes in downgradient groundwater species chemistry as a result of a constructed biowall. This was accomplished with a chemical species model to predict levels of sulfate and sulfide present in groundwater in close downgradient proximity to the biowall. The results indicate that downgradient chemical changes could impact a surface water body to which groundwater discharges. The model described could be enhanced by incorporating additional design variables that should be considered in biowall feasibility assessments.																	1051-5658	1520-6831				WIN	2017	28	1					55	61		10.1002/rem.21542								WOS:000423925600006						
J	Rasul, MG; Islam, MS; Yunus, RB; Bin Mokhtar, M; Alam, L; Yahaya, FM				Rasul, M. G.; Islam, Mir Sujaul; Yunus, Rosli Bin Mohd; Bin Mokhtar, Mazlin; Alam, Lubna; Yahaya, F. M.			Spatial and Temporal Variation of Water Quality in the Bertam Catchment, Cameron Highlands, Malaysia	WATER ENVIRONMENT RESEARCH												The spatio-temporal variability of water quality associated with anthropogenic activities was studied for the Bertam River and its main tributaries within the Bertam Catchment, Cameron Highlands, Malaysia. A number of physico-chemical parameters of collected samples were analyzed to evaluate their spatio-temporal variability. Nonparametric statistical analysis showed significant temporal and spatial differences (p<0.05) in most of the parameters across the catchment. Parameters except dissolved oxygen and chemical oxygen demand displayed higher values in rainy season. The higher concentration of total suspended solids was caused by massive soil erosion and sedimentation. Seasonal variations in contaminant concentrations are largely affected by precipitation and anthropogenic influences. Untreated domestic wastewater discharge as well as agricultural runoff significantly influenced the water quality. Poor agricultural practices and development activities at slope areas also affected the water quality within the catchment. The analytical results provided a basis for protection of river environments and ecological restoration in mountainous Bertam Catchment.																	1061-4303	1554-7531				DEC 1	2017	89	12					2088	2102		10.2175/106143017X14839994522740								WOS:000418398800004	28087920					
J	Benettin, P; van Breukelen, BM				Benettin, Paolo; van Breukelen, Boris M.			Decomposing the Bulk Electrical Conductivity of Streamflow To Recover Individual Solute Concentrations at High Frequency	ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS												The ability to evaluate stream hydrochemistry is often constrained by the capacity to sample streamwater at an adequate frequency. While technology is no longer a limiting factor, costs and sample management can still be a barrier to high-resolution water quality instrumentation. We propose a new framework for investigating the electrical conductivity (EC) of streamwater, which can be measured continuously through inexpensive sensors. We show that EC embeds information about individual ion content that can be isolated to retrieve solute concentrations at high resolution. The essence of the approach is the decomposition of the EC signal into its "harmonics", i.e., the specific contributions of the major ions that conduct current in water. The ion contribution is used to explore water quality patterns and to develop algorithms that reconstruct solute concentrations starting from EC during periods where solute measurements are not available. The approach is validated on a hydrochemical data set from Plynlimon, Wales, showing that improved estimates of high-frequency solute dynamics can easily be achieved. Our results support the installation of EC probes to complement water quality campaigns and suggest that the potential of EC measurements in rivers is currently far from being fully exploited.				Benettin, Paolo/O-5063-2017	Benettin, Paolo/0000-0001-7556-1417												2328-8930					DEC	2017	4	12					518	522		10.1021/acs.estlett.7b00472								WOS:000418209400003						
J	Zhang, ZC				Zhang, Zhenchao			Treatment of oilfield wastewater by combined process of micro-electrolysis, Fenton oxidation and coagulation	WATER SCIENCE AND TECHNOLOGY												In this study, a combined process was developed that included micro-electrolysis, Fenton oxidation and coagulation to treat oilfield fracturing wastewater. Micro-electrolysis and Fenton oxidation were applied to reduce chemical oxygen demand (COD) organic load and to enhance organic components gradability, respectively. Orthogonal experiment were employed to investigate the influence factors of micro-electrolysis and Fenton oxidation on COD removal efficiency. For micro-electrolysis, the optimum conditions were: pH, 3; iron-carbon dosage, 50 mg/L; mass ratio of iron-carbon, 2: 3; reaction time, 60 min. For Fenton oxidation, a total reaction time of 90 min, a H2O2 dosage of 12 mg/L, with a H2O2/Fe2+ mole ratio of 30, pH of 3 were selected to achieve optimum oxidation. The optimum conditions in coagulation process: pH, cationic polyacrylamide dosage, mixing speed and time is 4.3, 2 mg/L, 150 rpm and 30 s, respectively. In the continuous treatment process under optimized conditions, the COD of oily wastewater fell 56.95%, 46.23%, 30.67%, respectively, from last stage and the total COD removal efficiency reached 83.94% (from 4,314 to 693 mg/L). In the overall treatment process under optimized conditions, the COD of oily wastewater was reduced from 4,314 to 637 mg/L, and the COD removal efficiency reached 85.23%. The contribution of each stage is 68.45% (micro-electrolysis), 24.07% (Fenton oxidation), 7.48% (coagulation), respectively. Microelectrolysis is the uppermost influencing process on COD removal. Compared with the COD removal efficiency of three processes on raw wastewater under optimized conditions: the COD removal efficiency of single micro-electrolysis, single Fenton oxidation, single coagulation is 58.34%, 44.88% and 39.72%, respectively. Experiments proved the effect of combined process is marvelous and the overall water quality of the final effluent could meet the class III national wastewater discharge standard of petrochemical industry of China (GB8978-1996).																	0273-1223	1996-9732				DEC	2017	76	12					3278	3288		10.2166/wst.2017.486								WOS:000417838300012	29236007					
J	Christofaro, C; Leao, MMD; Oliveira, SMAC; Viana, DT; Amorim, CC; Carvalho, MD				Christofaro, Cristiano; Diniz Leao, Monica M.; Oliveira, Silvia M. A. C.; Viana, Deborah T.; Amorim, Camila C.; Carvalho, Marcela D.			Spatio-temporal variations of water quality in Nova Ponte Reservoir, Araguari River Basin, Brazil	WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY												Multivariate techniques, like cluster analysis (CA) and principal component analysis (PCA), were used to evaluate the spatial and temporal variability of surface water quality in a large neotropical hydroelectric reservoir (Nova Ponte Reservoir). The dataset, obtained during the period of 1995-2011 from the Energy Company of Minas Gerais State (CEMIG), contains 14 parameters surveyed quarterly in 14 sites, at different depths. The CA grouped the 14 sites in three main groups: lotic sites, half of the photic zone sites and bottom sites. Statistical tests showed that only three parameters (total dissolved solids, nitrate and chemical oxygen demand) have no significant difference between cluster groups. The PCA results showed temporal changes of the water quality in all groups, illustrating modifications to the importance of the parameters over time. PCA also revealed the major causes of water deterioration from 1995 to 2005 were related to agricultural and livestock activities. Currently, the water quality parameters related to organic pollution are also highlighted. Generally, this study shows that possible optimization of the monitoring network should consider temporal variation of water quality parameters.																	1606-9749					DEC	2017	17	6					1507	1514		10.2166/ws.2017.055								WOS:000417947000002						
J	Wu, SF; Zhang, X; She, DX				Wu, Shaofei; Zhang, Xiang; She, Dunxian			Joint occurrence of water quality indexes in relation to river streamflow in the heavily polluted Huai River Basin, China	WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY												Effective joint management of water quantity and quality of rivers requires a good understanding of the interrelationships between these variables. This study aims to quantitatively evaluate the impact of river streamflow on the joint occurrence of water quality variables in the heavily polluted Huai River Basin (HRB). Using data from three representative stations, joint distributions were set up for two key water quality indexes, CODMn and NH3-N, for three different streamflow scenarios: low, medium and high streamflows, and the joint probabilities of different water quality combinations were calculated. The results showed that there was a significant negative relationship between streamflow and the water quality index, while the water quality indexes were significantly positively correlated. In general, the higher the river streamflow, the lower the joint probability of water quality variables under the three scenarios in each station. It is concluded that, in both the main stream and the tributary, high streamflow scenarios do help to improve the joint probability of water quality combination under a higher water quality grade, compared with a decrease under a lower quality grade. This study is expected to provide scientific references for water quality management and implementation of water pollution prevention in the HRB.				she, dunxian/B-4667-2018	she, dunxian/0000-0003-4660-3301												1606-9749					DEC	2017	17	6					1602	1615		10.2166/ws.2017.046								WOS:000417947000011						
