PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Ockenden, MC; Tych, W; Beven, KJ; Collins, AL; Evans, R; Falloon, PD; Forber, KJ; Hiscock, KM; Hollaway, MJ; Kahana, R; Macleod, CJA; Villamizar, ML; Wearing, C; Withers, PJA; Zhou, JG; Benskin, CMH; Burke, S; Cooper, RJ; Freer, JE; Haygarth, PM				Ockenden, Mary C.; Tych, Wlodek; Beven, Keith J.; Collins, Adrian L.; Evans, Robert; Falloon, Peter D.; Forber, Kirsty J.; Hiscock, Kevin M.; Hollaway, Michael J.; Kahana, Ron; Macleod, Christopher J. A.; Villamizar, Martha L.; Wearing, Catherine; Withers, Paul J. A.; Zhou, Jian G.; Benskin, Clare McW. H.; Burke, Sean; Cooper, Richard J.; Freer, Jim E.; Haygarth, Philip M.			Prediction of storm transfers and annual loads with data-based mechanistic models using high-frequency data	HYDROLOGY AND EARTH SYSTEM SCIENCES												Excess nutrients in surface waters, such as phosphorus (P) from agriculture, result in poor water quality, with adverse effects on ecological health and costs for remediation. However, understanding and prediction of P transfers in catchments have been limited by inadequate data and over-parameterised models with high uncertainty. We show that, with high temporal resolution data, we are able to identify simple dynamic models that capture the P load dynamics in three contrasting agricultural catchments in the UK. For a flashy catchment, a linear, second-order (two pathways) model for discharge gave high simulation efficiencies for short-term storm sequences and was useful in highlighting uncertainties in out-of-bank flows. A model with non-linear rainfall input was appropriate for predicting seasonal or annual cumulative P loads where antecedent conditions affected the catchment response. For second-order models, the time constant for the fast pathway varied between 2 and 15 h for all three catchments and for both discharge and P, confirming that high temporal resolution data are necessary to capture the dynamic responses in small catchments (10-50 km(2)). The models led to a better understanding of the dominant nutrient transfer modes, which will be helpful in determining phosphorus transfers following changes in precipitation patterns in the future.				Freer, Jim/C-7335-2009; BGS University Funding Initiative, BUFI/H-4822-2011	BGS University Funding Initiative, BUFI/0000-0003-3097-5530; Tych, Wlodzimierz/0000-0003-1655-844X; Forber, Kirsty Jessica/0000-0001-7182-9586; Hollaway, Michael/0000-0003-0386-2696												1027-5606	1607-7938				DEC 18	2017	21	12					6425	6444		10.5194/hess-21-6425-2017								WOS:000418321000001						
J	Pavlowsky, RT; Lecce, SA; Owen, MR; Martin, DJ				Pavlowsky, Robert T.; Lecce, Scott A.; Owen, Marc R.; Martin, Derek J.			Legacy sediment, lead, and zinc storage in channel and floodplain deposits of the Big River, Old Lead Belt Mining District, Missouri, USA	GEOMORPHOLOGY												The Old Lead Belt of southeastern Missouri was one of the leading producers of Pb ore for more than a century (1869-1972). Large quantities of contaminated mine waste have been, and continue to be, supplied to local streams. This study assessed the magnitude and spatial distribution of mining-contaminated legacy sediment stored in channel and floodplain deposits of the Big River in the Ozark Highlands of southeastern Missouri. Although metal concentrations decline downstream from the mine sources, the channel and floodplain sediments are contaminated above background levels with Pb and Zn along its entire 171-km length below the mine sources. Mean concentrations in floodplain cores >2000 mg kg(-1) for Pb and >1000 mg kg(-1) for Zn extend 40-50 km downstream from the mining area in association with the supply of fine tailings particles that were easily dispersed downstream in the suspended load. Mean concentrations in channel bed and bar sediments ranging from 1400 to 1700 mg kg(-1) for Pb extend 30 km below the mines, while Zn concentrations of 1000-3000 mg kg(-1) extend 20 km downstream. Coarse dolomite fragments in the 2-16 mm channel sediment fraction provide significant storage of Pb and Zn, representing 13-20% of the bulk sediment storage mass in the channel and can contain concentrations of >4000 mg kg(-1) for Pb and >1000 mg kg(-1) for Zn. These coarse tailings have been transported a maximum distance of only about 30 km from the source over a period of 120 years for an average of about 250 m/y. About 37% of the Pb and 9% of the Zn that was originally released to the watershed in tailings wastes is still stored in the Big River. A total of similar to 157 million Mg of contaminated sediment is stored along the Big River, with 92% of it located in floodplain deposits that are typically contaminated to depths of 1.5-3.5 m. These contaminated sediments store a total of 188,549 Mg of Pb and 34,299 Mg of Zn, of which 98% of the Pb and 95% of the Zn are stored in floodplain deposits. Most of the metal mass in channel deposits is stored near the mines, with 72% of the Pb and 78% of the Zn occurring in the 25 km of channel proximal to the mine source. Although environmental assessments of streams contaminated by mines often focus on evaluating metal concentrations in the geochemically active fine sediment fractions, about 60% of the Pb stored in channels is associated with coarse dolomite tailings fragments deposited in channels within 25 km of the mines. The magnitude and basinwide distribution of Pb and Zn storage in legacy floodplain sediments ensures that remobilization by bank erosion will be a continuing problem for water quality far into the future. (C) 2017 Elsevier B.V. All rights reserved.																	0169-555X	1872-695X				DEC 15	2017	299						54	75		10.1016/j.geomorph.2017.08.042								WOS:000418221700005						
J	Guerrero, JL; Pernica, P; Wheater, H; Mackay, M; Spence, C				Guerrero, Jose-Luis; Pernica, Patricia; Wheater, Howard; Mackay, Murray; Spence, Chris			Parameter sensitivity analysis of a 1-D cold region lake model for land-surface schemes	HYDROLOGY AND EARTH SYSTEM SCIENCES												Lakes might be sentinels of climate change, but the uncertainty in their main feedback to the atmosphere heat- exchange fluxes - is often not considered within climate models. Additionally, these fluxes are seldom measured, hindering critical evaluation of model output. Analysis of the Canadian Small Lake Model (CSLM), a one-dimensional integral lake model, was performed to assess its ability to reproduce diurnal and seasonal variations in heat fluxes and the sensitivity of simulated fluxes to changes in model parameters, i.e., turbulent transport parameters and the light extinction coefficient (K-d). A C++ open-source software package, Problem Solving environment for Uncertainty Analysis and Design Exploration (PSUADE), was used to perform sensitivity analysis (SA) and identify the parameters that dominate model behavior. The generalized likelihood uncertainty estimation (GLUE) was applied to quantify the fluxes' uncertainty, comparing daily-averaged eddy-covariance observations to the output of CSLM. Seven qualitative and two quantitative SA methods were tested, and the posterior likelihoods of the modeled parameters, obtained from the GLUE analysis, were used to determine the dominant parameters and the uncertainty in the modeled fluxes. Despite the ubiquity of the equifinality issue - different parameter-value combinations yielding equivalent results-the answer to the question was unequivocal: K-d, a measure of how much light penetrates the lake, dominates sensible and latent heat fluxes, and the uncertainty in their estimates is strongly related to the accuracy with which K-d is determined. This is important since accurate and continuous measurements of K-d could reduce modeling uncertainty.																	1027-5606	1607-7938				DEC 14	2017	21	12					6345	6362		10.5194/hess-21-6345-2017								WOS:000417943600002						
J	Zhu, J; Sun, G; Li, WH; Zhang, Y; Miao, GF; Noormets, A; McNulty, SG; King, JS; Kumar, M; Wang, X				Zhu, Jie; Sun, Ge; Li, Wenhong; Zhang, Yu; Miao, Guofang; Noormets, Asko; McNulty, Steve G.; King, John S.; Kumar, Mukesh; Wang, Xuan			Modeling the potential impacts of climate change on the water table level of selected forested wetlands in the southeastern United States	HYDROLOGY AND EARTH SYSTEM SCIENCES												The southeastern United States hosts extensive forested wetlands, providing ecosystem services including carbon sequestration, water quality improvement, groundwater recharge, and wildlife habitat. However, these wetland ecosystems are dependent on local climate and hydrology, and are therefore at risk due to climate and land use change. This study develops site-specific empirical hydrologic models for five forested wetlands with different characteristics by analyzing long-term observed meteorological and hydrological data. These wetlands represent typical cypress ponds/swamps, Carolina bays, pine flatwoods, drained pocosins, and natural bottomland hardwood ecosystems. The validated empirical models are then applied at each wetland to predict future water table changes using climate projections from 20 general circulation models (GCMs) participating in Coupled Model Inter-comparison Project 5 (CMIP5) under the Representative Concentration Pathways (RCPs) 4.5 and 8.5 scenarios. We show that combined future changes in precipitation and potential evapotranspiration would significantly alter wetland hydrology including groundwater dynamics by the end of the 21st century. Compared to the historical period, all five wetlands are predicted to become drier over time. The mean water table depth is predicted to drop by 4 to 22 cm in response to the decrease in water availability (i.e., precipitation minus potential evapotranspiration) by the year 2100. Among the five examined wetlands, the depressional wetland in hot and humid Florida appears to be most vulnerable to future climate change. This study provides quantitative information on the potential magnitude of wetland hydrological response to future climate change in typical forested wetlands in the southeastern US.				Noormets, Asko/A-7257-2009	Noormets, Asko/0000-0003-2221-2111; McNulty, Steven/0000-0003-4518-5646												1027-5606	1607-7938				DEC 13	2017	21	12					6289	6305		10.5194/hess-21-6289-2017								WOS:000417902600001						
J	Magee, MR; Wu, CH				Magee, Madeline R.; Wu, Chin H.			Response of water temperatures and stratification to changing climate in three lakes with different morphometry	HYDROLOGY AND EARTH SYSTEM SCIENCES												Water temperatures and stratification are important drivers for ecological and water quality processes within lake systems, and changes in these with increases in air temperature and changes to wind speeds may have significant ecological consequences. To properly manage these systems under changing climate, it is important to understand the effects of increasing air temperatures and wind speed changes in lakes of different depths and surface areas. In this study, we simulate three lakes that vary in depth and surface area to elucidate the effects of the observed increasing air temperatures and decreasing wind speeds on lake thermal variables (water temperature, stratification dates, strength of stratification, and surface heat fluxes) over a century (19112014). For all three lakes, simulations showed that epilimnetic temperatures increased, hypolimnetic temperatures decreased, the length of the stratified season increased due to earlier stratification onset and later fall overturn, stability increased, and longwave and sensible heat fluxes at the surface increased. Overall, lake depth influences the presence of stratification, Schmidt stability, and differences in surface heat flux, while lake surface area influences differences in hypolimnion temperature, hypolimnetic heating, variability of Schmidt stability, and stratification onset and fall overturn dates. Larger surface area lakes have greater wind mixing due to increased surface momentum. Climate perturbations indicate that our larger study lakes have more variability in temperature and stratification variables than the smaller lakes, and this variability increases with larger wind speeds. For all study lakes, Pearson correlations and climate perturbation scenarios indicate that wind speed has a large effect on temperature and stratification variables, sometimes greater than changes in air temperature, and wind can act to either amplify or mitigate the effect of warmer air temperatures on lake thermal structure depending on the direction of local wind speed changes.				Wu, Chin/C-2042-2009	Wu, Chin/0000-0001-8393-1940; Magee, Madeline/0000-0002-2741-2262												1027-5606	1607-7938				DEC 11	2017	21	12					6253	6274		10.5194/hess-21-6253-2017								WOS:000417617900001						
J	Floury, P; Gaillardet, J; Gayer, E; Bouchez, J; Tallec, G; Ansart, P; Koch, F; Gorge, C; Blanchouin, A; Roubaty, JL				Floury, Paul; Gaillardet, Jerome; Gayer, Eric; Bouchez, Julien; Tallec, Gaelle; Ansart, Patrick; Koch, Frederic; Gorge, Caroline; Blanchouin, Arnaud; Roubaty, Jean-Louis			The potamochemical symphony: new progress in the high-frequency acquisition of stream chemical data	HYDROLOGY AND EARTH SYSTEM SCIENCES												Our understanding of hydrological and chemical processes at the catchment scale is limited by our capacity to record the full breadth of the information carried by river chemistry, both in terms of sampling frequency and precision. Here, we present a proof-of-concept study of a "lab in the field" called the "River Lab" (RL), based on the idea of permanently installing a suite of laboratory instruments in the field next to a river. Housed in a small shed, this set of instruments performs analyses at a frequency of one every 40 min for major dissolved species (Na+, K+, Mg2+, Ca2+, Cl-, SO42-, NO3- )through continuous sampling and filtration of the river water using automated ion chromatographs. The RL was deployed in the Orgeval Critical Zone Observatory, France for over a year of continuous analyses. Results show that the RL is able to capture long-term fine chemical variations with no drift and a precision significantly better than conventionally achieved in the laboratory (up to +/- 0.5% for all major species for over a day and up to 1.7% over 2 months). The RL is able to capture the abrupt changes in dissolved species concentrations during a typical 6-day rain event, as well as daily oscillations during a hydrological low-flow period of summer drought. Using the measured signals as a benchmark, we numerically assess the effects of a lower sampling frequency (typical of conventional field sampling campaigns) and of a lower precision (typically reached in the laboratory) on the hydrochemical signal. The highresolution, high-precision measurements made possible by the RL open new perspectives for understanding critical zone hydro-bio-geochemical cycles. Finally, the RL also offers a solution for management agencies to monitor water quality in quasi-real time.				Bouchez, Julien/E-7034-2017	Bouchez, Julien/0000-0003-4832-1615												1027-5606	1607-7938				DEC 7	2017	21	12					6153	6165		10.5194/hess-21-6153-2017								WOS:000417473300001						
J	Shin, K; Koh, DC; Lee, J				Shin, Kyungsun; Koh, Dong-Chan; Lee, Jeonghoon			An Analysis of Seawater Effect on Groundwater Quality, in the Region of Sinan-gun area, Jeonam, Korea	JOURNAL OF THE KOREAN EARTH SCIENCE SOCIETY												The purpose of the study was to evaluate the groundwater quality of Sinan-gun, Jeollanam-do, an island located in the southern part of the Korean peninsula where the effect of seawater on the groundwater quality had not been investigated in the past. In order to evaluate its effect, the hydrogeological parameters including groundwater quality and major dissolved components were investigated. The water quality was measured four times in the field, and 74 of 163 samples that showed the high conductivity value of more than 500 mu S/cm and the influence of seawater on the groundwater were analyzed by Cl-/HCO3- molar ratio. The results showed that, 40 samples out of 74 were found to have a value of 2.8 or more, indicating severe and very severe effects. According to the type of groundwater quality, the ratio of samples belonging to Na-Cl type, which is considered to be influenced by the direct seawater, is 35.3% for bedrock groundwater and 52.5% for weathered zone and alluvial groundwater. In the evolution stage of groundwater due to seawater infiltration, the type of Ca-Cl prior to the Na-Cl type is 44.1% in bedrock groundwater and 45% in weathered zone and alluvial groundwater. The effect of sea water on the aquifer is likely to be influenced by distance from the shore, pumped water, and tide.																	1225-6692	2287-4518				DEC	2017	38	7					570	580		10.5467/JKESS.2017.38.7.570								WOS:000424527800010						
J	Kim, DG; Lee, CH; Bae, JS; Kim, GB				Kim, Deog-Geun; Lee, Chi-Hyung; Bae, Jong-Soem; Kim, Gyoo-Bum			Changes in water quality in saline-fresh water mixed zone according to a freshwater injection	JOURNAL OF THE GEOLOGICAL SOCIETY OF KOREA												In this study, saline water spreading into surrounding aquifer along the GI-Waterway is investigated and the changes of water quality in saline-fresh water mixed zone by a fresh water injection is assessed. GI-Waterway is the first artificial waterway, 18 km long and 80 m wide, which connects the West Sea with the Han River, and seawater and freshwater are introduced in the waterway to control water quality condition since September 2011. The electric conductivity at the monitoring well, M-19, close to the waterway is affected by the surface water salinity in the waterway. Hydrogeochemical type of groundwater changes from Ca(Mg)HCO3 into Cl_SO4 type through Ca(Mg) Cl(SO4) type. The result of injection test by using an injection well shows that the average decreasing effect of 49.9% in electric conductivity is acquired just after the injection and the effect is maintained fairly well for several days at the monitoring wells and especially it is predominant in sand layer below about 15 m in depth.																	0435-4036	2288-7377				DEC	2017	53	6					805	817		10.14770/jgsk.2017.53.6.805								WOS:000424418800005						
J	Zhang, WS; Swaney, DP; Hong, B; Howarth, RW				Zhang, Wangshou; Swaney, Dennis P.; Hong, Bongghi; Howarth, Robert W.			Anthropogenic Phosphorus Inputs to a River Basin and Their Impacts on Phosphorus Fluxes Along Its Upstream-Downstream Continuum	JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES												The increasing trend in riverine phosphorus (P) loads resulting from anthropogenic inputs has gained wide attention because of the well-known role of P in eutrophication. So far, however, there is still limited scientific understanding of anthropogenic P inputs and their impacts on riverine flux in river reaches along the upstream-to-downstream continuum. Here we investigated P budgets in a series of nested watersheds draining into Hongze Lake of China and developed an empirical function to describe the relationship between anthropogenic inputs and riverine P fluxes. Our results indicated that there are obvious gradients regarding P budgets in response to changes in human activities. Fertilizer application and food and feed P import was always the dominant source of P inputs in all sections, followed by nonfood P. Further interpretation using the model revealed the processes of P loading to the lake. About 2%-9% of anthropogenic P inputs are transported from the various sections into the corresponding tributaries of the river systems, depending upon local precipitation rates. Of this amount, around 41%-95% is delivered to the main stem of the Huai River after in-stream attenuation in its tributaries. Ultimately, 55%-86% of the P loads delivered to different locations of the main stem are transported into the receiving lake of the downstream, due to additional losses in the main stem. An integrated P management strategy that considers the gradients of P loss along the upstream-to-downstream continuum is required to assess and optimize P management to protect the region's freshwater resource.					zhang, wangshou/0000-0001-9473-4555												2169-8953	2169-8961				DEC	2017	122	12					3273	3287		10.1002/2017JG004004								WOS:000423221300011						
J	Rawat, KS; Singh, SK; Jacintha, TGA; Nemcici-Jurec, J; Tripathi, VK				Rawat, Kishan Singh; Singh, Sudhir Kumar; Jacintha, T. German Amali; Nemcici-Jurec, Jasna; Tripathi, Vinod Kumar			Appraisal of long term groundwater quality of peninsular India using water quality index and fractal dimension	JOURNAL OF EARTH SYSTEM SCIENCE												A review has been made to understand the hydrogeochemical behaviour of groundwater through statistical analysis of long term water quality data (year 2005-2013). Water Quality Index (WQI), descriptive statistics, Hurst exponent, fractal dimension and predictability index were estimated for each water parameter. WQI results showed that majority of samples fall in moderate category during 2005-2013, but monitoring site four falls under severe category (water unfit for domestic use). Brownian time series behaviour (a true random walk nature) exists between calcium (Ca2+) and electric conductivity (EC); magnesium (Mg2+) with EC; sodium (Na+) with EC; sulphate (SO42-) with EC; total dissolved solids (TDS) with chloride (Cl-) during pre-(2005-2013) and post-(2006-2013) monsoon season. These parameters have a closer value of Hurst exponent (H) with Brownian time series behaviour condition (H = 0.5). The result of times series analysis of water quality data shows a persistent behaviour (a positive autocorrelation) that has played a role between Cl-and Mg2+, Cl-and Ca2+, TDS and Na+, TDS and SO42-, TDS and Ca2+ in pre- and post-monsoon time series because of the higher value of H (> 1). Whereas an anti-persistent behaviour (or negative autocorrelation) was found between Cl-and EC, TDS and EC during pre-and post-monsoon due to low value of H. The work outline shows that the groundwater of few areas needs treatment before direct consumption, and it also needs to be protected from contamination.					Rawat, Kishan Singh/0000-0001-5900-8195												0253-4126	0973-774X				DEC	2017	126	8							122	10.1007/s12040-017-0895-y								WOS:000422757000004						
