PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Schilling, KE; Kim, SW; Jones, CS				Schilling, Keith E.; Kim, Sea-Won; Jones, Christopher S.			Use of water quality surrogates to estimate total phosphorus concentrations in Iowa rivers	JOURNAL OF HYDROLOGY-REGIONAL STUDIES												Study region: The study was focused on total phosphorus (TP) concentrations measured in rivers in Iowa, a Midwestern state located in the central United States. Study focus: Accurate measurement of TP concentrations in rivers is needed to quantify loads and evaluate the progress of nutrient reduction strategies. We evaluated the relation of water quality surrogates, turbidity, orthophosphorus (OP), chlorophyll a, chloride and discharge to TP concentrations at 43 different river monitoring sites over a 15-year period. New hydrological insights for the region: TP concentrations were highly correlated to turbidity (0.78 +/- 0.20) and OP (0.69 +/- 0.13) across all sites and less correlated to chlorophyll a (0.07 +/- 0.15), chloride (-0.10 +/- 0.24) and discharge (0.41 +/- 0.23). When the regression models included OP as a variable, the mean r(2) for all 43 sites was 0.90 +/- 0.08 and ten of the 43 sites had r2 values greater than 0.95. When OP was excluded in the regression model, the overall mean r2 values decreased to 0.72 +/- 0.14 and for six of the river sites, the r2 value decreased by 50%. Other variables (discharge, chlorophyll a, chloride) were included in the regression equations on a case-by-case basis. Including OP in the regression models was critically important for rivers draining the tile-drained Des Moines Lobe region.																	2214-5818					AUG	2017	12						111	121		10.1016/j.ejrh.2017.04.006								WOS:000415815000007						
J	Bern, CR; Stogner, RW				Bern, Carleton R.; Stogner, Robert W., Sr.			The Niobrara Formation as a challenge to water quality in the Arkansas River, Colorado, USA	JOURNAL OF HYDROLOGY-REGIONAL STUDIES												Study region: Arkansas River, east of the Rocky Mountains. Study focus: Cretaceous sedimentary rocks in the western United States generally pose challenges to water quality, often through mobilization of salts and trace metals by irrigation. However, in the Arkansas River Basin of Colorado, patchy exposure of multiple Cretaceous formations has made it difficult to identify which formations are most problematic. This paper examines water quality in surface-water inflows along a 26-km reach of the Arkansas River relative to the presence or absence of the Cretaceous Niobrara Formation within the watershed. New hydrological insights for the region: Principal component analysis (PCA) shows Niobrarainfluenced inflows have distinctive geochemistry, particularly with respect to Na, Mg, SO42-, and Se. Uranium concentrations are also greater in Niobrara-influenced inflows. During the irrigation season, median dissolved solids, Se, and U concentrations in Niobrara-influenced inflows were 83%, 646%, and 55%, respectively, greater than medians where Niobrara Formation surface exposures were absent. During the non-irrigation season, which better reflects geologic influence, the differences were more striking. Median dissolved solids, Se, and U concentrations in Niobrara-influenced inflows were 288%, 863%, and 155%, respectively, greater than median concentrations where the Niobrara Formation was absent. Identification of the Niobrara Formation as a disproportionate source for dissolved solids, Se, and U will allow for more targeted studies and management, particularly where exposures underlie irrigated agriculture.					Bern, Carleton/0000-0002-8980-1781												2214-5818					AUG	2017	12						181	195		10.1016/j.ejrh.2017.05.001								WOS:000415815000012						
J	Yehia, M; Baghdady, A; Howari, FM; Awad, S; Gad, A				Yehia, Mohamed; Baghdady, Ashraf; Howari, Fares M.; Awad, Samir; Gad, Ahmed			Natural radioactivity and groundwater quality assessment in the northern area of the Western Desert of Egypt	JOURNAL OF HYDROLOGY-REGIONAL STUDIES												The chemical composition and natural radioactivity of the northern area of the western desert groundwater were determined to evaluate hydrogeochemical facies and assess groundwater quality for different uses. Many the groundwater samples belong to the Na+ - Cl-, Na2SO4- type, followed by Ca2+ - Mg2+ - Cl- type. Only a few samples are of the Na+ - HCO3- type. The spatial distributions of the major ions describe similar anomalies, with the highest concentrations found at the extreme northeastern margin of the oasis, as well as in its northern and northwestern parts. Fe is the most abundant toxic metal, followed by Cu and Mn. Anomalies of Cr, Ni and Zn are also detected. Rock/water interactions strongly affect the chemical composition of the groundwater. Dissolution and cation exchange are the main processes controlling the hydrogeochemistry. Most of the irrigation groundwater problems in the study area may be resolved using an effective drainage system. The estimated total annual dose due to ingestion of U-238, Th-232 and K-40 in groundwater samples reveals that the groundwater is safe for human consumption. However, the toxic metal content of the Bahariya groundwater exceeds the permissible levels for both irrigation and consumption, and the water must be filtered through suitable membranes to exclude these toxic metals. Regular monitoring of the quality of this water for drinking is strictly required.				Gad, Ahmed/C-2126-2016	Gad, Ahmed/0000-0001-8265-0434												2214-5818					AUG	2017	12						331	344		10.1016/j.ejrh.2017.06.002								WOS:000415815000021						
J	Miller, JD; Hutchins, M				Miller, James D.; Hutchins, Michael			The impacts of urbanisation and climate change on urban flooding and urban water quality: A review of the evidence concerning the United Kingdom	JOURNAL OF HYDROLOGY-REGIONAL STUDIES												Study region: United Kingdom (UK). Study focus: Climate change and urbanization pose significant threats for flooding and water quality in urban areas. This paper reviews the evidence concerning the combined impacts of urbanisation and climate on the urban water environment of inland catchments of the United Kingdom and assesses the degree of confidence in reported directions of change and response. It also assesses the utility of the evidence for setting environmental legislation and managing the urban water environment in the future and identifies knowledge gaps that limit effective and management interventions. New hydrological insights: There is a lack of nationally research focused on the dual impacts of climate change and urbanisation on flooding and water quality in UK urban areas. This is despite there being a clear acceptance that flood risk is increasing, water quality is generally not meeting desirable levels, and that combined population and climate change projections pose a pressing challenge. The available evidence has been found to be of medium-high confidence that both pressures will result in (i) an increase in pluvial and fluvial flood risk, and (ii) further reduction in water quality caused by point source pollution and altered flow regimes. Evidence concerning urban groundwater flooding, diffuse pollution and water temperature was found to be more sparse and was ascribed a low-medium confidence that both pressures will further exacerbate existing issues. The confidence ascribed to evidence was also found to reflect the utility of current science for setting policy and urban planning. Recurring factors that limit the utility of evidence for managing the urban environment includes: (i) climate change projection uncertainty and suitability, (ii) lack of sub-daily projections for storm rainfall, (iii) the complexity of managing and modelling the urban environment, and (iv) lack of probable national-scale future urban land use projections. Suitable climate products are increasingly being developed and their application in applied urban research is critical in the wake of a series of extreme flooding events across the UK and timely for providing state-of-the-art evidence on which to base possible future water quality legislation in a post Brexit-WFD era.				Hutchins, Michael/K-3370-2012													2214-5818					AUG	2017	12						345	362		10.1016/j.ejrh.2017.06.006								WOS:000415815000022						
J	Gad-Allah, TA; Badawy, MI; Abdel-Aty, AM; Ali, RK; Saleh, H; Yoon, Y; Ali, MEM				Gad-Allah, Tarek A.; Badawy, Mohamed I.; Abdel-Aty, Azza M.; Ali, Rizka K.; Saleh, Hazem; Yoon, Yeomin; Ali, Mohamed E. M.			Pilot-scale drinking water treatment plant: effects of disinfection alternatives and filtration systems	DESALINATION AND WATER TREATMENT												A pilot-scale drinking water treatment plant was designed and manufactured to control disinfection by-product (DBP) levels through better removal of natural organic matter (NOM) and the application of disinfectant alternatives that produce lower DBPs levels. The designed pilot plant consists of several stages including disinfection (by chlorine, chlorine dioxide, or ozone), coagulation-flocculation (using alum or alum + cationic polymer), and a sedimentation and gravity filtration system, such as sand or granular activated carbon (GAC). The efficiency of the designed plant was evaluated according to the water quality produced in terms of turbidity, pH, alkalinity, total organic carbon, and ultraviolet absorption at 254 nm (UV254), phytoplankton, and DBP levels. Improved reductions of turbidity, algae, and NOM, and consequently lower DBP levels, could be obtained. The lowest DBPs levels were obtained through the treatment sequence: ClO2/modified coagulation/GAC, due to the combination of the high oxidation powers of ClO2 with the high adsorption capacity of GAC.				Yoon, Yeomin/C-3331-2012	Abd el-Aty, Azza/0000-0002-2087-2856												1944-3994	1944-3986				AUG	2017	85						16	24		10.5004/dwt.2017.21250								WOS:000412882200003						
J	Wang, LC; Zhang, QL; Wang, L; Wang, LB; Wang, XJ; Ju, XS; Cui, K; Zhu, CG				Wang, Liang-Chen; Zhang, Qiao-Ling; Wang, Lu; Wang, Liang-Bi; Wang, Xiao-Jian; Ju, Xue-Song; Cui, Kai; Zhu, Chen-Guo			The performance of a polymaleic-based polymeric scale inhibitor on CaCO3 inhibition under different water quality variables	DESALINATION AND WATER TREATMENT												To investigate the performance of a polymaleic-based polymeric scale inhibitor against CaCO3 scale under different water quality, hydrolyzed polymaleic acid (HPMA) is used. The influences of ions (Mg2+, SO42-, PO43-, SiO32-, Cl- and H+) on the performance of HPMA against CaCO3 scale are investigated by conducting static test. The effect of the mass ratio (beta = [HPMA]/[CaCO3]) on the performance of HPMA against CaCO3 scale is also studied. The effect of HPMA on the crystals of CaCO3 is examined using scanning electron microscopy (SEM). The results can be summarized as follows: the effect of beta on the performance of HPMA against CaCO3 scale mainly depends on CaCO3 concentration; the presence of Mg2+, SO42-, PO43- and SiO32- can change adsorption equilibrium of carboxyl ion of HPMA onto the CaCO3 crystal growth sites; both SO42- and SiO32- can enhance the performance of HPMA, but SiO32- causes performance declining in the presence of PO43- ; the presence of PO43- and Mg2+ may weaken the performance; Cl-can improve the performance and this effect increases with increasing Cl-concentration; pH value has a remarkable influence on the performance; SEM morphologies of CaCO3 scale are distorted with dosage of HPMA; Ca-HPMA formation is confirmed using Fourier transform infrared spectra.																	1944-3994	1944-3986				AUG	2017	85						36	45		10.5004/dwt.2017.21280								WOS:000412882200005						
J	Ramezanianpour, M; Sivakumar, M; Stojanovski, AG				Ramezanianpour, Mohammad; Sivakumar, Muttucumaru; Stojanovski, Aleksandar Gocev			Grey water treatment using a solar powered electro-coagulator and vacuum membrane distillation system	DESALINATION AND WATER TREATMENT												Grey water reuse has been identified as a sustainable solution to reduce the pressure on freshwater storages. Membrane distillation techniques provide high quality permeate from this insanitary source. However, grey water contains surfactants present in the form of linear alkylbenzene sulphonate (LAS) that reduces the contact angle between the feed solution and the membrane surface leads to the wetting phenomenon. Electro-coagulation (EC) with aluminium electrodes has been demonstrated as an effective technology that removes LAS significantly. The aim of this paper is to investigate the effect of the current density and circulation rate of EC unit on the permeate water quality. For this purpose, synthetic grey water was treated at different operating conditions. It has been shown that, only after 12 min of EC, the turbidity, total suspended solids, chemical oxygen demand, total organic carbon, total nitrogen, total phosphorous, electrical conductivity and faecal coliforms were reduced by an average 94.4%, 89.9%, 83.8%, 71.0%, 73.1%, 96.1%, 30.2% and 1.32log, respectively. The EC permeate was sent to the solar powered vacuum membrane distillation (VMD) to produce pure water. Photovoltaic panels and a thermal collector supplied electricity and heat, respectively, for the combination of EC and VMD in order to use renewable energy.																	1944-3994	1944-3986				AUG	2017	85						46	54		10.5004/dwt.2017.21024								WOS:000412882200006						
J	Mahfooz, Y; Yasar, A; Tabinda, AB; Sohail, MT; Siddiqua, A; Mahmood, S				Mahfooz, Yusra; Yasar, Abdullah; Tabinda, Amtul Bari; Sohail, Muhammad Tayyab; Siddiqua, Ayesha; Mahmood, Saleha			Quantification of the River Ravi pollution load and oxidation pond treatment to improve the drain water quality	DESALINATION AND WATER TREATMENT												The study was based on the wastewater quality of the four drains (Outfall, Gulshan-e-Ravi, Hudiara and Babu Sabu) entering into river Ravi in Lahore, Pakistan. Pollution parameters were analyzed including pH, dissolved oxygen, biological oxygen demand (BOD), chemical oxygen demand (COD), turbidity, electrical conductivity (EC), total suspended solids, nitrates, phosphates, sulfates and fecal coliform. All parameters of drains exceeded the permissible level of wastewater standards. Hudiara drain showed the highest pollution load in terms of COD: 429.86 t/d while in Babu Sabu drain, highest pollution load was calculated in terms of BOD: 162.82 t/d. Lab-scale treatment (oxidation ponds) was designed to treat the wastewater of the Babu Sabu drain, through combination of different algae species, namely Chaetomorpha sutoria, Sirogonium sticticum and Zygnema sp. Two different size ponds (horizontal and vertical), and three different concentration of algal samples (25, 50 and 75 g/3 L) were selected for 6 d retention time. Percentage removal efficiencies of parameters in vertical and horizontal ponds, that is, turbidity: 62.12%, 69.79%; EC: 79.3%, 83%; BOD: 86.6%, 88.5%; COD: 79.72%, 83.01%; FC: 100%, 100%; nitrates: 89.6%, 89.8%; sulfates: 96.9%, 97%; phosphates: 85.3%, 86.3% and TOC: 75.6%, 79% were observed, respectively. Maximum reduction was observed after day 6 in the 50 g/3 L algae setup in horizontal pond due to large surface area. Results concluded that algae-based treatment is the most energy efficient and cost-effective in improving water quality in drains.					Mahfooz, Yusra/0000-0002-9717-7931												1944-3994	1944-3986				AUG	2017	85						132	137		10.5004/dwt.2017.21195								WOS:000412882200016						
J	Roy, R; Majumder, M				Roy, Ritabrata; Majumder, Mrinmoy			Comparison of surface water quality to land use: a case study from Tripura, India	DESALINATION AND WATER TREATMENT												Land use pattern of a location is a key factor to determine the quality of water in that area. A case study was performed to understand the influence of land use on the quality of surface water. Water quality indices of surface water from different locations within study area were compared with the land use pattern of that location. Multi-criteria decision-making methods, like weighted sum method, weighted product method and grey relational analysis, were used to determine the priority values (PV) of the different water quality parameters on the basis of important criteria like hazard potential, cost of mitigation, utilization potential and popularity among the researchers. Water quality indices of the samples were calculated from those PV by weighted average method. The indices were then compared with respective land use pattern to assess the relation between land use pattern and water quality. The results suggest that dense settlement, moderate to low vegetation and dense cultivation is good for surface water, whereas low settlement, dense vegetation and moderate cultivation is bad for surface water. These findings may be useful for managers and policy makers to manage land use for maintaining the optimum quality of surface water.					Roy, Ritabrata/0000-0002-2178-9739												1944-3994	1944-3986				AUG	2017	85						147	153		10.5004/dwt.2017.21259								WOS:000412882200018						
J	Masocha, M; Murwira, A; Magadza, CHD; Hirji, R; Dube, T				Masocha, Mhosisi; Murwira, Amon; Magadza, Christopher H. D.; Hirji, Rafik; Dube, Timothy			Remote sensing of surface water quality in relation to catchment condition in Zimbabwe	PHYSICS AND CHEMISTRY OF THE EARTH												The degradation of river catchments is one of the most important contemporary environmental problems affecting water quality in tropical countries. In this study, we used remotely sensed Normalised Difference Vegetation Index (NDVI) to assess how catchment condition varies within and across river catchments in Zimbabwe. We then used non-linear regression to test whether catchment condition assessed using the NDVI is significantly (alpha = 0.05) related with levels of Total Suspended Solids (TSS) measured at different sampling points in thirty-two sub-catchments in Zimbabwe. The results showed a consistent negative curvilinear relationship between Landsat 8 derived NDVI and TSS measured across the catchments under study. In the drier catchments of the country, 98% of the variation in TSS is explained by NDVI, while in wetter catchments, 64% of the variation in TSS is explained by NDVI. Our results suggest that NDVI derived from free and readily available multispectral Landsat series data (Landsat 8) is a potential valuable tool for the rapid assessment of physical water quality in data poor catchments. Overall, the finding of this study underscores the usefulness of readily available satellite data for near-real time monitoring of the physical water quality at river catchment scale, especially in resource-constrained areas, such as the sub-Saharan Africa. (C) 2017 Elsevier Ltd. All rights reserved.																	1474-7065	1873-5193				AUG	2017	100						13	18		10.1016/j.pce.2017.02.013								WOS:000412251700003						
