Source ,Pollutant,priority,CAS Number,Type,lowerLimit,upperLimit,Units,Publication Year,Notes
US-EPA,Acenaphthene,1,83329,drinking + organism consumption,0,70,µg/L,2015,
US-EPA,Acenaphthene,1,83329,organism consumption,0,90,µg/L,2015,
US-EPA,Acrolein,1,107028,drinking + organism consumption,0,3,µg/L,2015,
US-EPA,Acrolein,1,107028,organism consumption,0,400,µg/L,2015,
US-EPA,Acrylonitrile,1,107131,drinking + organism consumption,0,0.061,µg/L,2015,
US-EPA,Acrylonitrile,1,107131,organism consumption,0,7,µg/L,2015,
US-EPA,Aldrin,1,309002,drinking + organism consumption,0,0.00000077,µg/L,2015,
US-EPA,Aldrin,1,309002,organism consumption,0,0.00000077,µg/L,2015,
US-EPA,alpha-Hexachlorocyclohexane (HCH) ,1,319846,drinking + organism consumption,0,0.00036,µg/L,2015,
US-EPA,alpha-Hexachlorocyclohexane (HCH) ,1,319846,organism consumption,0,0.00039,µg/L,2015,
US-EPA,alpha-Endosulfan,1,959988,drinking + organism consumption,0,20 ,µg/L,2015,
US-EPA,alpha-Endosulfan,1,959988,organism consumption,0,30 ,µg/L,2015,
US-EPA,Anthracene,1,120127,drinking + organism consumption,0,300 ,µg/L,2015,
US-EPA,Anthracene,1,120127,organism consumption,0,400 ,µg/L,2015,
US-EPA,Antimony,1,7440360,drinking + organism consumption,0,5.6,µg/L,1980,
US-EPA,Antimony,1,7440360,organism consumption,0,640,µg/L,1980,
US-EPA,Arsenic,1,7440382,drinking + organism consumption,0,0.018,µg/L,1992,
US-EPA,Arsenic,1,7440382,organism consumption,0,0.14,µg/L,1992,
US-EPA,Asbestos,1,1332214,drinking + organism consumption,0,7000000, fibers/L,1991,
US-EPA,Barium,0,7440393,drinking + organism consumption,0,"1,000",µg/L,1986,
US-EPA,Benzene,1,71432,drinking + organism consumption,0,0.58,µg/L,2015,"Range reported : 0.58-2.1, used the smallest value"
US-EPA,Benzene,1,71432,organism consumption,0,16,µg/L,2015,Range reported :16-58  used the smallest value
US-EPA,Benzidine,1,92875,drinking + organism consumption,0,0.00014,µg/L,2015,
US-EPA,Benzidine,1,92875,organism consumption,0,0.011,µg/L,2015,
US-EPA,Benzo(a)anthracene,1,56553,drinking + organism consumption,0,0.0012,µg/L,2015,
US-EPA,Benzo(a)anthracene,1,56553,organism consumption,0,0.0013,µg/L,2015,
US-EPA,Benzo(a)pyrene,1,50328,drinking + organism consumption,0,0.00012,µg/L,2015,
US-EPA,Benzo(a)pyrene,1,50328,organism consumption,0,0.00013,µg/L,2015,
US-EPA,Benzo(b)fluoranthene,1,205992,drinking + organism consumption,0,0.0012,µg/L,2015,
US-EPA,Benzo(b)fluoranthene,1,205992,organism consumption,0,0.0013,µg/L,2015,
US-EPA,Benzo(k)fluoranthene,1,207089,drinking + organism consumption,0,0.012,µg/L,2015,
US-EPA,Benzo(k)fluoranthene,1,207089,organism consumption,0,0.013,µg/L,2015,
US-EPA,beta-Hexachlorocyclohexane (HCH),1,319857,drinking + organism consumption,0,0.008,µg/L,2015,
US-EPA,beta-Hexachlorocyclohexane (HCH),1,319857,organism consumption,0,0.014,µg/L,2015,
US-EPA,beta-Endosulfan,1,33213659,drinking + organism consumption,0,20 ,µg/L,2015,
US-EPA,beta-Endosulfan,1,33213659,organism consumption,0,40 ,µg/L,2015,
US-EPA,Bis(2-Chloro-1-methylethyl) Ether,1,108601,drinking + organism consumption,0,200 ,µg/L,2015,
US-EPA,Bis(2-Chloro-1-methylethyl) Ether,1,108601,organism consumption,0,"4,000 ",µg/L,2015,
US-EPA,Bis(2-Chloroethyl) Ether,1,111444,drinking + organism consumption,0,0.03,µg/L,2015,
US-EPA,Bis(2-Chloroethyl) Ether,1,111444,organism consumption,0,2.2,µg/L,2015,
US-EPA,Bis(2-Ethylhexyl) Phthalate,1,117817,drinking + organism consumption,0,0.32,µg/L,2015,
US-EPA,Bis(2-Ethylhexyl) Phthalate,1,117817,organism consumption,0,0.37,µg/L,2015,
US-EPA,Bis(Chloromethyl) Ether,0,542881,drinking + organism consumption,0,0.00015,µg/L,2015,
US-EPA,Bis(Chloromethyl) Ether,0,542881,organism consumption,0,0.017,µg/L,2015,
US-EPA,Bromoform,1,75252,drinking + organism consumption,0,7,µg/L,2015,
US-EPA,Bromoform,1,75252,organism consumption,0,120,µg/L,2015,
US-EPA,Butylbenzyl Phthalate,1,85687,drinking + organism consumption,0,0.1,µg/L,2015,
US-EPA,Butylbenzyl Phthalate,1,85687,organism consumption,0,0.1,µg/L,2015,
US-EPA,Carbon Tetrachloride,1,56235,drinking + organism consumption,0,0.4,µg/L,2015,
US-EPA,Carbon Tetrachloride,1,56235,organism consumption,0,5,µg/L,2015,
US-EPA,Chlordane,1,57749,drinking + organism consumption,0,0.00031,µg/L,2015,
US-EPA,Chlordane,1,57749,organism consumption,0,0.00032,µg/L,2015,
US-EPA,Chlorobenzene,1,108907,drinking + organism consumption,0,100,µg/L,2015,
US-EPA,Chlorobenzene,1,108907,organism consumption,0,800,µg/L,2015,
US-EPA,Chlorodibromomethane,1,124481,drinking + organism consumption,0,0.8,µg/L,2015,
US-EPA,Chlorodibromomethane,1,124481,organism consumption,0,21,µg/L,2015,
US-EPA,Chloroform,1,67663,drinking + organism consumption,0,60,µg/L,2015,
US-EPA,Chloroform,1,67663,organism consumption,0,"2,000",µg/L,2015,
US-EPA,"Chlorophenoxy Herbicide (2,4-D)",0,94757,drinking + organism consumption,0,"1,300",µg/L,2015,
US-EPA,"Chlorophenoxy Herbicide (2,4-D)",0,94757,organism consumption,0,"12,000",µg/L,2015,
US-EPA,"Chlorophenoxy Herbicide (2,4,5-TP) [Silvex]",0,93721,drinking + organism consumption,0,100,µg/L,2015,
US-EPA,"Chlorophenoxy Herbicide (2,4,5-TP) [Silvex]",0,93721,organism consumption,0,400,µg/L,2015,
US-EPA,Chrysene,1,218019,drinking + organism consumption,0,0.12,µg/L,2015,
US-EPA,Chrysene,1,218019,organism consumption,0,0.13,µg/L,2015,
US-EPA,Copper,1,7440508,drinking + organism consumption,0,"1,300",µg/L,1992 ,
US-EPA,Cyanide,1,57125,drinking + organism consumption,0,4,µg/L,2015,
US-EPA,Cyanide,1,57125,organism consumption,0,400,µg/L,2015,
US-EPA,"Dibenzo(a,h)anthracene",1,53703,drinking + organism consumption,0,0.00012,µg/L,2015,
US-EPA,"Dibenzo(a,h)anthracene",1,53703,organism consumption,0,0.00013,µg/L,2015,
US-EPA,Dichlorobromomethane,1,75274,drinking + organism consumption,0,0.95 ,µg/L,2015,
US-EPA,Dichlorobromomethane,1,75274,organism consumption,0,27,µg/L,2015,
US-EPA,Dieldrin,1,60571,drinking + organism consumption,0,0.0000012,µg/L,2015,
US-EPA,Dieldrin,1,60571,organism consumption,0,0.0000012,µg/L,2015,
US-EPA,Diethyl Phthalate,1,84662,drinking + organism consumption,0,600 ,µg/L,2015,
US-EPA,Diethyl Phthalate,1,84662,organism consumption,0,600 ,µg/L,2015,
US-EPA,Dimethyl Phthalate,1,131113,drinking + organism consumption,0,"2,000",,2015,
US-EPA,Dimethyl Phthalate,1,131113,organism consumption,0,"2,000",,2015,
US-EPA,Di-n-Butyl Phthalate,1,84742,drinking + organism consumption,0,20,µg/L,2015,
US-EPA,Di-n-Butyl Phthalate,1,84742,organism consumption,0,30 ,µg/L,2015,
US-EPA,Dinitrophenols,0,25550587,drinking + organism consumption,0,10,µg/L,2015,
