"x"
"PHOSPHORUS,UNFILTERED TOTAL"
"RESIDUE,PARTICULATE"
"SILICATES,UNFILTERED REACTIVE"
"TIN       UNFILTERED TOTAL"
"STRONTIUM, UNFILTERED TOTAL"
"TITANIUM,  UNFILTERED TOTAL"
"URANIUM,   UNFILTERED TOTAL"
"VANADIUM,  UNFILTERED TOTAL"
"ZINC,  UNFILTERED TOTAL"
"SILVER,   UNFILTERED TOTAL"
"ALKALINITY, TOTAL"
"ALUMINIUM, UNFILTERED TOTAL"
"BARIUM,  UNFILTERED TOTAL"
"BERYLIUM,UNFILTERED TOTAL"
"BISMUTH, UNFILTERED TOTAL"
"CALCIUM, UNFILTERED TOTAL"
"CADMIUM, UNFILTERED TOTAL"
"CHLORIDE,         UNFIL.REAC"
"CONDUCTIVITY, 25C"
"CONDUCTIVITY, AMBIENT"
"COBALT,   UNFILTERED TOTAL"
"CHROMIUM, UNFILTERED TOTAL"
"COPPER,   UNFILTERED TOTAL"
"DISSOLVED OXYGEN"
"IRON,     UNFILTERED TOTAL"
"PH FIELD"
"STREAM CONDITION"
"TEMPERATURE, WATER"
"HARDNESS,   TOTAL"
"POTASSIUM,UNFILTERED TOTAL"
"LITHIUM,  UNFILTERED TOTAL"
"MAGNESIUM,UNFILTERED TOTAL"
"MANGANESE,UNFILTERED TOTAL"
"MOLYBDENUM,UNFILTERED TOTAL"
"SODIUM,   UNFILTERED TOTAL"
"NICKEL,   UNFILTERED TOTAL"
"AMMONIUM, TOTAL   UNFIL.REAC"
"NITRITE,  UNFILTERED REACTIVE"
"NITRATES TOTAL,   UNFIL.REAC"
"NITROGEN; TOTAL"
"LEAD,     UNFILTERED TOTAL"
"PH (-LOG H+ CONCN)"
"PHOSPHATE,FILTERED REACTIVE"
"ZIRCONIUM,  UNFILTERED TOTAL"
"MERCURY,  UNFILTERED TOTAL"
"PHENOLICS, UNFILERED REACTIVE"
"CARBON, DISSOLVED INORGANIC"
"CARBON, DISSOLVED ORGANIC"
"ESCHERICHIA COLI MF"
"FECAL STREPTOCOCCUS MF"
"PSEUDOMON.AERUGINOSA MF"
"BOD,  5 DAY,  TOTAL DEMAND"
"ARSENIC,    UNFILTERED TOTAL"
"TURBIDITY"
"RESIDUE,FILTERED"
"RESIDUE,TOTAL"
"CHLOROPHYLL-A, CORRECTED"
"CHLOROPHYLL-A, TOTAL"
"CHLOROPHYLL-B, TOTAL"
"SULPHATE, UNFILTERED REACTIVE"
"CONDUCTIVITY, ESTIMATED"
