"station","latitude","longitude"
"14002809102",46.5235421415,-81.1962352332
"06008000702",43.6783316388,-79.6795082318
"19006400502",48.7755123936,-80.6770769827
"19006400602",48.7618482685,-80.6701893577
"19006402202",49.2975516441,-81.0669628581
"19006402302",49.0588362688,-80.8629796079
"19006403002",49.1873876439,-80.956791108
"19006403102",48.7617000186,-80.6676559827
"19006403202",48.7572170186,-80.6727889827
"19006403602",50.6440808953,-81.4083363584
"19005300102",51.6511920212,-86.392930988
"19005300302",51.347850021,-83.3893779852
"19001800202",53.7999658982,-87.8216488644
"19004300102",53.0900263164,-85.0648831868
"19000103202",51.0297643957,-93.7366813699
"19000800702",53.8250583983,-89.8639274913
"19006400702",48.5393742683,-80.4640188575
"19005300502",51.1539532708,-91.6191211179
"19006404102",49.0805575189,-81.0259354831
"19006404202",49.0782067688,-81.029828858
"19006404302",49.0749286438,-81.025983608
"19006404402",49.0756555188,-81.024832233
"19006404702",48.5377878933,-80.6870351077
"19004300202",51.8238197714,-89.601938116
"19000800202",53.7614106482,-89.562456491
"19006401802",49.6121163943,-83.2562404851
"19006401702",49.3995033941,-82.4084902343
"19006401602",49.3133202691,-82.041721109
"19000103301",51.0226577707,-93.817855245
"19006401902",48.2474621431,-82.4480574844
"19006400902",49.4063453942,-82.4334518594
"19006401002",49.4471325192,-82.4465109844
"19006402402",49.5727138943,-82.3200436093
"19006402902",49.5572700193,-82.3579383593
"19006403402",49.4103778942,-82.4296133594
"19006403502",49.6262261444,-82.2516444842
"19006404002",49.3640392691,-82.4811756094
"19005300602",50.4092670201,-84.3794779862
"19006403802",51.1523513958,-80.8311681079
"19005300202",50.6609647703,-86.5149691132
"19006400102",48.4938735183,-81.3603956084
"19006400202",48.4760580183,-81.3502914834
"19006401102",49.275960269,-81.6390687336
"19006401202",49.292709019,-81.6385716086
"19006401420",48.4747937683,-81.3532018584
"19006403302",49.4490371442,-81.6535931086
"19006403902",49.3628052691,-81.6275699836
"19006402702",49.6445761444,-83.5411318604
"19006400802",49.6850465194,-83.6331781105
"19006402502",49.6817120194,-83.7236502356
"19006402602",49.5932965193,-83.7452782356
"19006401302",49.6149923943,-83.2686397351
"19006402002",47.8506615177,-83.3697098602
"19006402102",47.8400383927,-83.3956321103
"19006404602",48.5377167683,-80.7420253578
"19006403702",51.1060926457,-80.7649903578
"19005300402",50.9317788956,-88.8499851153
"19004300302",52.2028132718,-88.6904888652
"19001800302",52.5706286471,-90.1812188666
"19006400302",48.4950445183,-81.1750368582
"19006400402",48.5498382684,-81.0548048581
"19006404502",48.4824245183,-81.2222679832
"19000103401",48.6526443934,-93.3034936195
"19000103902",48.6132786434,-93.3635832445
"19000800302",52.7331227722,-92.5974809938
"19000800602",53.1045580226,-84.257380986
"19000800802",53.0308565225,-93.2447937444
"19000800102",53.2999745228,-91.8157158681
"19000800402",52.7178157722,-94.1527749953
"19001800102",54.654225024,-87.2916669889
"19000103702",51.0130243956,-93.88552287
"19000103502",49.8510047696,-93.0903653693
"19000103602",49.9586122697,-93.4012427446
"19000103802",49.8151196445,-92.8739837441
